"","interaction_ID","N10.A_Healthy","N11.B_Healthy","N15.A_Healthy","N16.A_Healthy","N17.A_Healthy","N18.A_Healthy","N20.A_Healthy","N21.A_Healthy","N51.A_Healthy","N46.A_Healthy","N9.B_Inflamed","N12.B_Inflamed","N14.B_Inflamed","N19.B_Inflamed","N24.B_Inflamed","N52.B1a_Inflamed","N111.B1_Inflamed","N44.B_Inflamed","N49.B_Inflamed","N50.B_Inflamed","N106.B_Inflamed","N539.B_Inflamed"
"9308","B-cells:CALM1_Epithelial:PTPRA",NA,NA,NA,NA,NA,NA,NA,0.382496222070897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9309","B-cells:CALM1_Epithelial:VIPR1",NA,NA,NA,NA,NA,NA,NA,0.232175586745266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9310","B-cells:CALM3_Epithelial:MYLK",NA,NA,NA,NA,NA,NA,NA,0.240664256046546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9311","B-cells:CDC37_Epithelial:ERBB2",NA,NA,NA,NA,NA,NA,NA,0.123112504674269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9312","B-cells:HLA-A_Epithelial:APLP2",NA,NA,NA,NA,NA,NA,NA,0.8460794734395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9313","B-cells:HLA-B_Epithelial:CANX",NA,NA,NA,NA,NA,NA,NA,0.466072746422316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9314","B-cells:HLA-DRA_Epithelial:CD63",NA,NA,NA,NA,NA,NA,NA,0.346785898396958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9315","B-cells:HLA-DRA_Epithelial:CD9",NA,NA,NA,NA,NA,NA,NA,0.175891634195009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9316","B-cells:PSAP_Epithelial:LRP1",NA,NA,NA,NA,NA,NA,NA,0.382029286608267,0.382029286608267,NA,0.382029286608267,NA,NA,NA,NA,NA,0.382029286608267,NA,NA,NA,0.382029286608267,NA
"9317","B-cells:RPS27A_Epithelial:ERBB2",NA,NA,NA,NA,NA,NA,NA,0.086238742236923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9318","B-cells:UBA52_Epithelial:ERBB2",NA,NA,NA,NA,NA,NA,NA,0.160136134797125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9319","Epithelial:ADM_Fibroblasts:ACKR3",NA,NA,NA,NA,NA,NA,NA,0.212763277092553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9320","Epithelial:CD74_Fibroblasts:ACKR3",NA,NA,NA,NA,NA,NA,NA,0.212763277092553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9321","Epithelial:MIF_Fibroblasts:ACKR3",NA,NA,NA,NA,NA,NA,NA,0.383573676385287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9322","Epithelial:MIF_Fibroblasts:TNFRSF14",NA,NA,NA,NA,NA,NA,NA,0.47278084062084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9323","Epithelial:TFF3_Fibroblasts:ACKR3",NA,NA,NA,NA,NA,NA,NA,0.220377290693909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9324","Fibroblasts:ADM_Fibroblasts:ACKR3",NA,NA,NA,NA,NA,NA,NA,0.212763277092553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9325","Fibroblasts:CXCL12_Fibroblasts:ACKR3",NA,NA,NA,NA,NA,NA,NA,3.35045868923042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9326","Fibroblasts:OSMR_Fibroblasts:IL6ST",NA,NA,NA,NA,NA,NA,NA,0.596417673351825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.596417673351825,NA
"9327","Fibroblasts:PDGFRA_Fibroblasts:FGFR1",NA,NA,NA,NA,NA,NA,NA,0.0547808208718011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
