id_gene,ensembl,gene_name,hgnc_symbol,protein_id
1781,ENSG00000138039,LHCGR,LHCGR,800
1782,ENSG00000128342,LIF,LIF,660
1783,ENSG00000113594,LIFR,LIFR,1048
1784,ENSG00000275525,LILRA1,LILRA1,163
1785,ENSG00000104974,LILRA1,LILRA1,163
1786,ENSG00000274935,LILRA1,LILRA1,163
1787,ENSG00000277398,LILRA1,LILRA1,163
1788,ENSG00000278634,LILRA2,LILRA2,1720
1789,ENSG00000275290,LILRA2,LILRA2,1720
1790,ENSG00000239998,LILRA2,LILRA2,1720
1791,ENSG00000274000,LILRA2,LILRA2,1720
1792,ENSG00000278046,LILRA3,LILRA3,1733
1793,ENSG00000273884,LILRA3,LILRA3,1733
1794,ENSG00000276175,LILRA3,LILRA3,1733
1795,ENSG00000275841,LILRA3,LILRA3,1733
1796,ENSG00000239961,LILRA4,LILRA4,1202
1797,ENSG00000277092,LILRA4,LILRA4,1202
1798,ENSG00000274185,LILRA4,LILRA4,1202
1799,ENSG00000276798,LILRA4,LILRA4,1202
1800,ENSG00000187116,LILRA5,LILRA5,6
1801,ENSG00000274914,LILRA5,LILRA5,6
1802,ENSG00000278355,LILRA5,LILRA5,6
1803,ENSG00000274113,LILRA5,LILRA5,6
1804,ENSG00000275404,LILRA5,LILRA5,6
1805,ENSG00000275539,LILRA6,LILRA6,1574
1806,ENSG00000277177,LILRA6,LILRA6,1574
1807,ENSG00000244482,LILRA6,LILRA6,1574
1808,ENSG00000274148,LILRA6,LILRA6,1574
1809,ENSG00000275584,LILRA6,LILRA6,1574
1810,ENSG00000276452,LILRB1,LILRB1,1766
1811,ENSG00000277134,LILRB1,LILRB1,1766
1812,ENSG00000277807,LILRB1,LILRB1,1766
1813,ENSG00000104972,LILRB1,LILRB1,1766
1814,ENSG00000274669,LILRB1,LILRB1,1766
1815,ENSG00000276146,LILRB2,LILRB2,1728
1816,ENSG00000277751,LILRB2,LILRB2,1728
1817,ENSG00000131042,LILRB2,LILRB2,1728
1818,ENSG00000275463,LILRB2,LILRB2,1728
1819,ENSG00000274513,LILRB2,LILRB2,1728
1820,ENSG00000275019,LILRB3,LILRB3,164
1821,ENSG00000274587,LILRB3,LILRB3,164
1822,ENSG00000204577,LILRB3,LILRB3,164
1823,ENSG00000277816,LILRB3,LILRB3,164
1824,ENSG00000186818,LILRB4,LILRB4,1765
1825,ENSG00000278279,LILRB4,LILRB4,1765
1826,ENSG00000276042,LILRB4,LILRB4,1765
