Gene;OverallAverageExpression;case_avg;control_avg
ADM;1,81091998031611e-02;2,56387607649768e-02;1,66801855613413e-02
ADNP;6,04745584487015e-02;9,60884835915021e-02;5,37154915530007e-02
ADNP-AS1;1,38557720673633e-03;1,02512881824208e-03;1,45398569472274e-03
ADNP2;2,00634200200849e-02;2,36003027639651e-02;1,93921649710477e-02
ADO;1,02602280840485e-02;1,97107596227172e-02;8,46663822801142e-03
ADORA2A;-3,00375044392410e-05;1,67750559055516e-03;-3,54107315898712e-04
ADORA2A-AS1;1,43649441980631e-02;9,94540363633229e-03;1,52037163970056e-02
ADORA2B;1,42525016020864e-03;2,81237157907485e-03;1,16199227933809e-03
ADPGK;1,09903054362564e-01;1,28812144780777e-01;1,06314351163996e-01
ADPGK-AS1;1,61137146148667e-03;4,25866136501815e-03;1,10894974081038e-03
ADPRH;8,60883866719561e-03;1,77503560040642e-02;6,87389574921191e-03
ADPRHL2;3,09672394128859e-02;2,89271132537553e-02;3,13544292306311e-02
ADPRM;3,87476080033236e-02;4,53803178789691e-02;3,74888046119674e-02
ADRA2A;2,04973268368498e-03;3,00903777937229e-03;1,86766886204391e-03
ADRB2;1,96256650041782e-02;3,17873245371517e-02;1,73175377753905e-02
ADRM1;1,57758076232641e-01;1,34285559827309e-01;1,62212859241196e-01
ADSL;9,58534799369184e-02;1,08302079181937e-01;9,34908952255318e-02
ADSS;8,51890948728897e-02;1,26067451303498e-01;7,74309063386882e-02
ADSSL1;2,10987888034762e-03;2,25548924044421e-03;2,08224389878764e-03
ADTRP;3,28771223635579e-02;1,04042512105804e-02;3,71421855053595e-02
AEBP1;1,26424483681168e-02;1,57484903011179e-02;1,20529613873409e-02
AEBP2;2,98741220140313e-02;4,62147477487644e-02;2,67728805188630e-02
AEN;2,99898927254786e-02;1,91671229851968e-02;3,20439158183563e-02
AES;4,32486949126793e-01;2,31019471342591e-01;4,70722896279245e-01
AFF1;6,58136022639703e-02;1,76194343823088e-01;4,48647511276908e-02
AFF2;7,62285458949223e-04;5,66866946883538e-03;-1,68883391601388e-04
AFF3;3,95908254557083e-02;5,86262436247853e-02;3,59781468678656e-02
AFF4;8,70245103993166e-02;1,02897761218491e-01;8,40119706775969e-02
AFG3L2;8,19850778111996e-02;1,31030311547953e-01;7,26769205549357e-02
AFMID;2,69608727878651e-02;5,73998112338842e-02;2,11839520927770e-02
AFTPH;7,46255592687946e-02;1,27738663899319e-01;6,45453722128435e-02
AGA;4,76764000390104e-02;5,69533345738220e-02;4,59157566711029e-02
AGAP2;2,40713399153680e-02;4,81337700478697e-02;1,95045988362375e-02
AGAP3;8,60177735369557e-03;1,15462452977073e-02;8,04295504680236e-03
AGAP4;6,93209649579034e-03;6,26609214512077e-03;7,05849559223797e-03
AGAP5;3,65085265920082e-03;1,04559744655675e-02;2,35932769141942e-03
AGAP6;1,34682727703244e-02;2,23012432018750e-02;1,17918881035063e-02
AGAP9;3,07954765115012e-03;9,01506672876444e-03;1,95306214455570e-03
AGBL3;5,09883451733565e-03;6,53995314467547e-03;4,82532865782217e-03
AGBL5;1,44077931633203e-02;2,15979664219316e-02;1,30431903611365e-02
AGER;1,55157667222496e-02;1,44880821234768e-02;1,57108080978613e-02
AGFG1;4,84598539319253e-02;7,10853078622164e-02;4,41658325330696e-02
AGFG2;8,85254435579746e-03;4,59325382502605e-03;9,66090315113593e-03
AGGF1;5,07977118531222e-02;9,67476267733882e-02;4,20770064674474e-02
AGK;1,59739083533029e-02;2,16556230740298e-02;1,48955916632527e-02
AGL;3,06706710705699e-02;5,22134676201034e-02;2,65821241773274e-02
AGMAT;1,66895753777082e-02;1,84917873342028e-02;1,63475386287305e-02
