"gene_symbol"	"is_in_LR_database"	"isLigand"	"isReceptor"	"sum_pseudobulkCellType_expr"	"sum_pseudobulkCellType_expr_threshold"	"sum_pseudobulkCellType_expr_filter"
"ADM"	FALSE	TRUE	FALSE	6.29211902922768	1	TRUE
"ADNP"	FALSE	FALSE	FALSE	29.5203605187896	1	TRUE
"ADNP-AS1"	FALSE	FALSE	FALSE	1.33841255696161	1	TRUE
"ADNP2"	FALSE	FALSE	FALSE	15.943959430244	1	TRUE
"ADO"	FALSE	TRUE	FALSE	5.60876349626625	1	TRUE
"ADORA2A"	FALSE	TRUE	TRUE	1.25769124636682	1	TRUE
"ADORA2A-AS1"	FALSE	FALSE	FALSE	3.55514016365124	1	TRUE
"ADORA2B"	FALSE	FALSE	TRUE	1.61743414786773	1	TRUE
"ADPGK"	FALSE	FALSE	FALSE	45.8773759514291	1	TRUE
"ADPGK-AS1"	FALSE	FALSE	FALSE	1.62567118115358	1	TRUE
"ADPRH"	FALSE	FALSE	FALSE	2.56955774027898	1	TRUE
"ADPRHL2"	FALSE	FALSE	FALSE	11.1132073815815	1	TRUE
"ADPRM"	FALSE	FALSE	FALSE	12.3905771919343	1	TRUE
"ADRA2A"	FALSE	TRUE	TRUE	1.18503498342656	1	TRUE
"ADRB2"	FALSE	TRUE	TRUE	7.24761221135709	1	TRUE
"ADRM1"	FALSE	FALSE	FALSE	70.7452100560814	1	TRUE
"ADSL"	FALSE	FALSE	FALSE	58.327210665469	1	TRUE
"ADSS"	FALSE	FALSE	FALSE	48.3395639793834	1	TRUE
"ADSSL1"	FALSE	FALSE	FALSE	1.44233119617171	1	TRUE
"ADTRP"	FALSE	FALSE	FALSE	3.80745219524368	1	TRUE
"AEBP1"	FALSE	FALSE	FALSE	6.8417304576847	1	TRUE
"AEBP2"	FALSE	FALSE	FALSE	15.5812603420031	1	TRUE
"AEN"	FALSE	FALSE	FALSE	10.4878017182964	1	TRUE
"AES"	FALSE	FALSE	FALSE	106.359193795919	1	TRUE
"AFF1"	FALSE	FALSE	FALSE	40.2083935534489	1	TRUE
"AFF2"	FALSE	FALSE	FALSE	2.5337956619498	1	TRUE
"AFF3"	FALSE	FALSE	FALSE	23.9352296673028	1	TRUE
"AFF4"	FALSE	FALSE	FALSE	38.3936697007172	1	TRUE
"AFG3L2"	FALSE	FALSE	FALSE	47.7513975925372	1	TRUE
"AFMID"	FALSE	FALSE	FALSE	14.9812374115599	1	TRUE
"AFTPH"	FALSE	FALSE	FALSE	39.0380134527741	1	TRUE
"AGA"	FALSE	FALSE	FALSE	18.2440761725009	1	TRUE
"AGAP2"	FALSE	FALSE	FALSE	7.82011208234862	1	TRUE
"AGAP3"	FALSE	FALSE	FALSE	3.36452286271084	1	TRUE
"AGAP4"	FALSE	FALSE	FALSE	2.56483294735835	1	TRUE
"AGAP5"	FALSE	FALSE	FALSE	2.53075895331013	1	TRUE
"AGAP6"	FALSE	FALSE	FALSE	4.93860272917297	1	TRUE
"AGAP9"	FALSE	FALSE	FALSE	2.36299250512464	1	TRUE
"AGBL3"	FALSE	FALSE	FALSE	1.02925237718238	1	TRUE
"AGBL5"	FALSE	FALSE	FALSE	10.3982440944965	1	TRUE
"AGER"	FALSE	TRUE	TRUE	3.87935971169947	1	TRUE
"AGFG1"	FALSE	FALSE	FALSE	22.8556832140356	1	TRUE
"AGFG2"	FALSE	FALSE	FALSE	5.82977588790748	1	TRUE
"AGGF1"	FALSE	FALSE	FALSE	32.5109810952148	1	TRUE
"AGK"	FALSE	FALSE	FALSE	7.80577240604509	1	TRUE
"AGL"	FALSE	FALSE	FALSE	15.6406945072433	1	TRUE
"AGMAT"	FALSE	FALSE	FALSE	3.01359090045517	1	TRUE
"AGO1"	FALSE	FALSE	FALSE	17.4802048774052	1	TRUE
"AGO2"	FALSE	FALSE	FALSE	50.0040085861005	1	TRUE
"AGO3"	FALSE	FALSE	FALSE	18.6067492928897	1	TRUE
"AGO4"	FALSE	FALSE	FALSE	12.9464755692883	1	TRUE
"AGPAT1"	FALSE	FALSE	FALSE	17.6905985479762	1	TRUE
"AGPAT2"	FALSE	FALSE	FALSE	29.7392994613448	1	TRUE
"AGPAT3"	FALSE	FALSE	FALSE	22.0543319716783	1	TRUE
"AGPAT4"	FALSE	FALSE	FALSE	5.79316217093386	1	TRUE
"AGPAT5"	FALSE	FALSE	FALSE	36.1860596553125	1	TRUE
"AGPS"	FALSE	FALSE	FALSE	30.86516661513	1	TRUE
"AGRN"	FALSE	TRUE	FALSE	1.61808247760432	1	TRUE
"AGTPBP1"	FALSE	FALSE	FALSE	32.4157948962493	1	TRUE
"AGTRAP"	FALSE	TRUE	FALSE	41.3856991036174	1	TRUE
"AHCTF1"	FALSE	FALSE	FALSE	23.6657726544309	1	TRUE
"AHCY"	FALSE	FALSE	FALSE	52.6913131078873	1	TRUE
"AHCYL1"	FALSE	FALSE	FALSE	30.8558402027738	1	TRUE
"AHCYL2"	FALSE	FALSE	FALSE	3.2822012837251	1	TRUE
"AHDC1"	FALSE	FALSE	FALSE	6.95815454636837	1	TRUE
"AHI1"	FALSE	FALSE	FALSE	21.8954879080863	1	TRUE
"AHNAK"	FALSE	FALSE	FALSE	128.389315024753	1	TRUE
"AHNAK2"	FALSE	FALSE	FALSE	1.2211738022751	1	TRUE
"AHR"	FALSE	FALSE	FALSE	45.2621187168978	1	TRUE
"AHSA1"	FALSE	FALSE	FALSE	41.6504903495872	1	TRUE
"AHSA2"	FALSE	FALSE	FALSE	18.6981127219461	1	TRUE
"AHSP"	FALSE	FALSE	FALSE	1419.15572952121	1	TRUE
"AIDA"	FALSE	FALSE	FALSE	45.2091604630277	1	TRUE
"AIF1"	FALSE	FALSE	FALSE	531.783204754189	1	TRUE
"AIF1L"	FALSE	FALSE	FALSE	3.51695517299458	1	TRUE
"AIFM1"	FALSE	FALSE	FALSE	24.4404121301821	1	TRUE
"AIFM2"	FALSE	FALSE	FALSE	2.47817248967026	1	TRUE
"AIFM3"	FALSE	FALSE	FALSE	1.33403030052951	1	TRUE
"AIG1"	FALSE	FALSE	FALSE	26.17408339869	1	TRUE
"AIM2"	FALSE	FALSE	FALSE	4.44113627846941	1	TRUE
"AIMP1"	FALSE	TRUE	FALSE	106.534696536695	1	TRUE
"AIMP2"	FALSE	FALSE	FALSE	19.7809060807375	1	TRUE
"AIP"	FALSE	FALSE	FALSE	39.3035917621178	1	TRUE
"AK1"	FALSE	FALSE	FALSE	51.1575757816079	1	TRUE
"AK2"	FALSE	FALSE	FALSE	84.9130681145481	1	TRUE
"AK3"	FALSE	FALSE	FALSE	52.3906923245062	1	TRUE
"AK4"	FALSE	FALSE	FALSE	7.96295880931887	1	TRUE
"AK5"	FALSE	FALSE	FALSE	6.40544105850962	1	TRUE
"AK6"	FALSE	FALSE	FALSE	51.2186800903413	1	TRUE
"AK7"	FALSE	FALSE	FALSE	1.3341050942859	1	TRUE
"AK9"	FALSE	FALSE	FALSE	8.82361861483828	1	TRUE
"AKAP1"	FALSE	FALSE	FALSE	11.6903789575955	1	TRUE
"AKAP10"	FALSE	FALSE	FALSE	15.3618314119158	1	TRUE
"AKAP11"	FALSE	FALSE	FALSE	21.1999399267097	1	TRUE
"AKAP12"	FALSE	FALSE	FALSE	7.41109045785149	1	TRUE
"AKAP13"	FALSE	FALSE	FALSE	86.9224609435617	1	TRUE
"AKAP17A"	FALSE	FALSE	FALSE	26.5501623405564	1	TRUE
