Gene;OverallAverageExpression;case_avg;control_avg
UBE4B;5,13223713188376e-02;5,48437005241544e-02;4,83668734379149e-02
KIF1B;8,05048945224375e-02;8,03987978009865e-02;8,05939428951224e-02
AL139424.3;2,02267001644112e-03;1,92110306450335e-03;2,10791649404129e-03
PGD;2,36790818415403e-01;2,75288011763447e-01;2,04479618090872e-01
CENPS;1,66812232176644e-02;1,63231515340828e-02;1,69817574876343e-02
CORT;1,53206700754574e-03;1,73827499980078e-03;1,35899392956743e-03
DFFA;5,78052989756889e-02;5,68176739498622e-02;5,86342256396797e-02
PEX14;2,04353439972468e-02;2,79698181486888e-02;1,41115608204763e-02
CASZ1;2,26953449609512e-02;3,23572208478218e-02;1,45860055483602e-02
TARDBP;1,53792656505008e-01;1,84412834821967e-01;1,28092738419359e-01
AL109811.2;3,17569807220334e-02;3,48398348424570e-02;2,91695007424994e-02
SRM;1,42523812483881e-01;1,32878907630493e-01;1,50618907885029e-01
EXOSC10;7,48797274328048e-02;8,79795837588929e-02;6,38848458540854e-02
AL109811.1;1,36138081407498e-03;1,31372101820053e-03;1,40138230711900e-03
EXOSC10-AS1;1,30910361080425e-03;1,75202528265325e-03;9,37353630544553e-04
MTOR;3,86761195422835e-02;4,00908446396017e-02;3,74887221751476e-02
UBIAD1;2,87172965151951e-02;3,11149514097134e-02;2,67049132511614e-02
FBXO2;6,61282312327911e-03;5,51830981392105e-03;7,53146252841200e-03
FBXO44;2,03526259880241e-02;2,33922284582534e-02;1,78014476869309e-02
FBXO6;4,92332784008850e-02;7,10019111227912e-02;3,09625788641773e-02
MAD2L2;8,71718898126950e-02;9,59339204178872e-02;7,98178023711901e-02
DRAXIN;3,88597645559935e-03;4,00728624290975e-03;3,78415955680167e-03
AGTRAP;2,76110403933137e-01;2,80075577833356e-01;2,72782381366575e-01
MTHFR;7,39302878808331e-02;6,48097333035602e-02;8,15852892039894e-02
CLCN6;2,79322702309268e-02;2,98352624785616e-02;2,63350638275026e-02
AL021155.5;1,31013176057060e-01;1,04099071399157e-01;1,53602537813769e-01
KIAA2013;7,65094786293207e-02;8,87262604195114e-02;6,62557731143447e-02
PLOD1;3,55585628245272e-02;4,50639919071540e-02;2,75805312708327e-02
MFN2;3,68774143651785e-02;4,18562567184638e-02;3,26986065438693e-02
MIIP;8,55564408493990e-02;1,05591245839267e-01;6,87409657149388e-02
TNFRSF8;6,66504996797490e-03;1,65718800090769e-03;1,08682143325202e-02
TNFRSF1B;3,18383096676390e-01;3,08789606238740e-01;3,26435039282698e-01
VPS13D;6,45068821146278e-02;7,59843578464961e-02;5,48736858906963e-02
DHRS3;4,54034685704371e-02;4,84986736887713e-02;4,28056222360344e-02
PRDM2;2,73712561536387e-01;3,03099588630224e-01;2,49047643478935e-01
KAZN;1,47048237925985e-03;2,04742293948304e-03;9,86248584650880e-04
TMEM51;4,72645718253858e-03;5,98090263698834e-03;3,67358462612967e-03
AL031283.1;2,23563668373511e-03;2,62768135590264e-03;1,90658843795660e-03
EFHD2;5,17486991378249e-01;5,62021505927197e-01;4,80108588024596e-01
CASP9;2,44144665041207e-02;2,72865549577039e-02;2,20038849187436e-02
DNAJC16;2,93069294144899e-02;2,75301361635287e-02;3,07982153414417e-02
AGMAT;5,90653073075548e-03;4,15724546365966e-03;7,37472884532674e-03
DDI2;6,21239530167824e-02;6,75552175052165e-02;5,75654213515065e-02
PLEKHM2;1,10622042080956e-01;1,36537190604471e-01;8,88711173365727e-02
SLC25A34;3,01905519129700e-03;3,11694438498581e-03;2,93689550452994e-03
FBLIM1;4,04732227518222e-03;4,49780693869322e-03;3,66922457662434e-03
UQCRHL;1,59417163217653e-02;1,12838013434530e-02;1,98511655794871e-02
AL450998.2;4,35910625971431e-02;4,32526640019756e-02;4,38750849854546e-02
SPEN;2,08349760083508e-01;2,36286764217013e-01;1,84901865353521e-01
ZBTB17;2,77386793185514e-02;3,56288036609491e-02;2,11163942623962e-02
EPHA2;7,58801949130596e-04;3,75860849216767e-04;1,08020944707332e-03
ARHGEF19;1,05054580216028e-02;1,26875648840827e-02;8,67398705368857e-03
AL109627.1;2,50261919211227e-03;3,23046378003406e-03;1,89172966380691e-03
CPLANE2;2,16484368412879e-03;2,20193439815900e-03;2,13371296038031e-03
FBXO42;5,10241310050632e-02;5,93234696070831e-02;4,40583870427284e-02
SZRD1;1,53985850503153e-01;2,08410328691296e-01;1,08306670688751e-01
SPATA21;1,74964917520742e-03;1,93185270759598e-03;1,59672335587250e-03
NECAP2;1,37704436219069e-01;1,64239708048813e-01;1,15433033833828e-01
LINC01772;7,06682353270731e-03;6,92391907533754e-03;7,18676512189273e-03
AL137802.2;2,67586244967115e-03;3,26679093178792e-03;2,17988840838130e-03
NBPF1;8,24417946364583e-03;6,95636324187443e-03;9,32506054364152e-03
CROCC;1,37122156974215e-02;1,58694640453983e-02;1,19016088074317e-02
BX284668.5;3,90805460778297e-02;3,41038666327676e-02;4,32575385418414e-02
BX284668.6;5,72380077978444e-03;4,87992530410994e-03;6,43207655711103e-03
ATP13A2;2,24686761358205e-02;2,43302229787953e-02;2,09062554052217e-02
SDHB;1,54819404388760e-01;1,73661060710653e-01;1,39005354612230e-01
PADI2;1,48133823243719e-02;7,28440556053477e-03;2,11325514714765e-02
PADI4;5,96858932547956e-02;3,22456762570331e-02;8,27168280127539e-02
RCC2;1,33347867173295e-01;1,49439451064780e-01;1,19841989330302e-01
ARHGEF10L;1,80108102238842e-02;1,59977648423143e-02;1,97003856689883e-02
ALDH4A1;1,05191362423130e-02;1,47634066001217e-02;6,95686435088456e-03
IFFO2;3,09794652053500e-02;4,51340007007584e-02;1,90993775387498e-02
UBR4;8,66512004524242e-02;1,00146013979362e-01;7,53248261043258e-02
EMC1-AS1;3,98133106840261e-03;3,14408552857241e-03;4,68404225344146e-03
EMC1;3,60101919059119e-02;3,97176240841226e-02;3,28984953539899e-02
MRTO4;6,74234495419760e-02;5,88613163742520e-02;7,46097604370713e-02
AKR7A2;1,07305481415725e-01;8,22918400236929e-02;1,28299759376641e-01
SLC66A1;1,11959244441737e-02;1,25464442137796e-02;1,00624154524021e-02
CAPZB;4,21131833529872e-01;4,09498482941037e-01;4,30895857569834e-01
MICOS10;3,40924161478657e-01;3,14245682454636e-01;3,63315759544149e-01
NBL1;1,56553112243226e-02;2,65102124247799e-02;6,54464998676026e-03
TMCO4;2,31000041709146e-02;2,59420832266009e-02;2,07146098675894e-02
OTUD3;2,26580995978935e-02;2,60897564913960e-02;1,97778648667907e-02
UBXN10-AS1;4,38047060736742e-03;4,91252450537705e-03;3,93391077827511e-03
UBXN10;5,01836599102288e-03;6,40195976872046e-03;3,85709754958641e-03
CAMK2N1;1,58095836292129e-02;2,20720906818787e-02;1,05533791552118e-02
MUL1;2,88400380149189e-02;3,62694152252790e-02;2,26044640820299e-02
CDA;1,65476572984073e-01;1,57899047088911e-01;1,71836490055153e-01
PINK1;3,19798225360600e-02;3,42286910982621e-02;3,00923175961566e-02
PINK1-AS;2,84387985855639e-03;3,04485495782092e-03;2,67519881643807e-03
DDOST;1,83443067623976e-01;1,86514726662762e-01;1,80864983823592e-01
KIF17;4,54606110570297e-03;6,80421399460276e-03;2,65076370838332e-03
HP1BP3;4,04337882824704e-01;4,38500676840257e-01;3,75664600824567e-01
EIF4G3;1,34724568556113e-01;1,65485014568403e-01;1,08906921950312e-01
ECE1;5,65482974093442e-02;5,70446676547903e-02;5,61316873388192e-02
NBPF3;4,03689152595746e-03;4,52096881300345e-03;3,63059909697723e-03
RAP1GAP;1,39293662696303e-03;2,83956471244784e-03;1,78762662575379e-04
USP48;1,64685104714975e-01;1,74321819331942e-01;1,56596883486895e-01
LDLRAD2;7,72631785233544e-03;1,43822269256571e-02;2,13992589213072e-03
HSPG2;5,74825489762525e-03;9,00626017522022e-03;3,01376824996165e-03
LINC01635;2,19912124159568e-03;2,28393425727411e-03;2,12793656288577e-03
LINC00339;2,78430929143021e-02;3,10334603642178e-02;2,51653755843367e-02
CDC42;8,91370384868946e-01;9,23113206107535e-01;8,64728217824893e-01
CDC42-AS1;2,05064859278153e-03;1,75950858159403e-03;2,29500623046483e-03
CDC42-IT1;2,05980156665456e-02;2,65304825944883e-02;1,56188182067612e-02
ZBTB40;3,27197707577879e-02;3,20226235379065e-02;3,33048955816583e-02
