"","interaction_id","sender_cell_type","sender_gene","receiver_cell_type","receiver_gene","sender_pval","receiver_pval","sender_logfc","receiver_logfc"
"11129","T:ADRB2_DC:YWHAQ","T","ADRB2","DC","YWHAQ",NA,NA,NA,NA
"11130","T:AGTRAP_DC:RACK1","T","AGTRAP","DC","RACK1",NA,NA,NA,NA
"11131","T:ALOX5AP_DC:ALOX5","T","ALOX5AP","DC","ALOX5",NA,NA,NA,NA
"11132","T:ARF1_DC:INSR","T","ARF1","DC","INSR",4.22782604412243e-159,NA,0.262743108648173,NA
"11133","T:ARF6_DC:PLD1","T","ARF6","DC","PLD1",NA,NA,NA,NA
"11134","T:ARPC5_DC:LDLR","T","ARPC5","DC","LDLR",NA,NA,NA,NA
"11135","T:B2M_DC:CD1C","T","B2M","DC","CD1C",NA,NA,NA,NA
"11136","T:B2M_DC:HLA-F","T","B2M","DC","HLA-F",NA,NA,NA,NA
"11137","T:B2M_DC:LILRB1","T","B2M","DC","LILRB1",NA,NA,NA,NA
"11138","T:B2M_DC:LILRB2","T","B2M","DC","LILRB2",NA,NA,NA,NA
"11139","T:CALM1_DC:KCNQ1","T","CALM1","DC","KCNQ1",NA,NA,NA,NA
"11140","T:CALM1_DC:PTPRA","T","CALM1","DC","PTPRA",NA,NA,NA,NA
"11141","T:CALM1_DC:SELL","T","CALM1","DC","SELL",NA,NA,NA,NA
"11142","T:CALM2_DC:KCNQ1","T","CALM2","DC","KCNQ1",NA,NA,NA,NA
"11143","T:CALM2_DC:SELL","T","CALM2","DC","SELL",NA,NA,NA,NA
"11144","T:CALM3_DC:KCNQ1","T","CALM3","DC","KCNQ1",NA,NA,NA,NA
"11145","T:CALM3_DC:SELL","T","CALM3","DC","SELL",NA,NA,NA,NA
"11146","T:CALR_DC:HLA-F","T","CALR","DC","HLA-F",NA,NA,NA,NA
"11147","T:CASP8_DC:FADD","T","CASP8","DC","FADD",NA,NA,NA,NA
"11148","T:CD2_DC:CD53","T","CD2","DC","CD53",NA,NA,NA,NA
"11149","T:CD47_DC:SIGLEC1","T","CD47","DC","SIGLEC1",NA,NA,NA,NA
"11150","T:CD55_DC:ADGRE2","T","CD55","DC","ADGRE2",NA,NA,NA,NA
"11151","T:CD55_DC:ADGRE5","T","CD55","DC","ADGRE5",NA,5.16971138787732e-39,NA,0.358641666679121
"11152","T:CD6_DC:HBEGF","T","CD6","DC","HBEGF",NA,NA,NA,NA
"11153","T:CD7_DC:ADAM15","T","CD7","DC","ADAM15",NA,NA,NA,NA
"11154","T:CD74_DC:CXCR4","T","CD74","DC","CXCR4",NA,NA,NA,NA
"11155","T:CD99_DC:CD81","T","CD99","DC","CD81",NA,NA,NA,NA
