"","interaction","AML-0024","AML-0160","AML-0693","AML-1371","AML-2123","AML-3133","AML-4340","healthy-1","healthy-2","healthy-3","healthy-4","healthy-4003","healthy-5"
"8927","Ery:NID1_B:ITGB1",NA,NA,NA,NA,NA,NA,NA,0.242239482263886,NA,NA,0.242239482263886,0.242239482263886,NA
"8928","Ery:PLTP_B:ABCA1",NA,NA,NA,NA,NA,NA,NA,1.03465253868029,1.03465253868029,NA,NA,NA,NA
"8929","Ery:RPS27A_B:TGFBR1",NA,NA,NA,NA,NA,NA,NA,0.135134298808348,NA,NA,NA,NA,NA
"8930","Ery:TGFB1_B:TGFBR1",NA,NA,NA,NA,NA,NA,NA,1.54561276703568,NA,NA,NA,NA,NA
"8931","Ery:TIMP3_B:ADAM17",NA,NA,NA,NA,NA,NA,NA,0.324107029905533,NA,NA,0.324107029905533,0.324107029905533,NA
"8932","Ery:UBA52_B:TGFBR1",NA,NA,NA,NA,NA,NA,NA,0.362619369747634,NA,NA,NA,NA,NA
"8933","Ery:UBB_B:TGFBR1",NA,NA,NA,NA,NA,NA,NA,0.135134298808348,NA,NA,NA,NA,NA
"8934","Ery:UBC_B:TGFBR1",NA,NA,NA,NA,NA,NA,NA,0.0880671634167503,NA,NA,NA,NA,NA
"8935","Mono:TNFSF14_HSPC:TNFRSF14",NA,NA,NA,NA,NA,NA,NA,5.76736028145837,NA,NA,NA,NA,NA
"8936","T:LRPAP1_HSPC:CD320",NA,NA,NA,NA,NA,NA,NA,0.366446697804397,0.366446697804397,0.366446697804397,0.366446697804397,0.366446697804397,0.366446697804397
"8937","HSPC:CSF1_HSPC:CSF3R",NA,NA,NA,NA,NA,NA,NA,0.240810263352606,0.240810263352606,0.240810263352606,NA,NA,0.240810263352606
"8938","HSPC:FBN1_HSPC:ITGA5",NA,NA,NA,NA,NA,NA,NA,0.486276053388012,NA,NA,NA,NA,NA
"8939","HSPC:FBN1_HSPC:ITGB1",NA,NA,NA,NA,NA,NA,NA,0.395680851547805,NA,0.395680851547805,NA,NA,0.395680851547805
