"gene_symbol"	"inDB"	"isLigand"	"isReceptor"	"sum_pseudobulkCellType_expr"	"sum_pseudobulkCellType_expr_threshold"	"sum_pseudobulkCellType_expr_filter"
"ACOT4"	FALSE	FALSE	FALSE	11.5628871954436	3	TRUE
"ACOT7"	FALSE	FALSE	FALSE	90.670405962761	3	TRUE
"ACOT8"	FALSE	FALSE	FALSE	67.3306847469804	3	TRUE
"ACOT9"	FALSE	FALSE	FALSE	59.2944593871623	3	TRUE
"ACOX1"	FALSE	FALSE	FALSE	68.7459389103465	3	TRUE
"ACOX2"	FALSE	FALSE	FALSE	5.28213678109683	3	TRUE
"ACOX3"	FALSE	FALSE	FALSE	13.2590087560554	3	TRUE
"ACP1"	FALSE	FALSE	FALSE	258.930433542044	3	TRUE
"ACP2"	FALSE	FALSE	FALSE	52.5580737300636	3	TRUE
"ACP5"	FALSE	FALSE	FALSE	455.38134338085	3	TRUE
"ACP6"	FALSE	FALSE	FALSE	16.4280807263319	3	TRUE
"ACPL2"	FALSE	FALSE	FALSE	4.21634465038728	3	TRUE
"ACRBP"	FALSE	FALSE	FALSE	8.58612115440617	3	TRUE
"ACSF2"	FALSE	FALSE	FALSE	33.1339886686025	3	TRUE
"ACSF3"	FALSE	FALSE	FALSE	37.5502093240953	3	TRUE
"ACSL1"	FALSE	FALSE	FALSE	14.1690304759526	3	TRUE
"ACSL3"	FALSE	FALSE	FALSE	52.1311100679638	3	TRUE
"ACSL4"	FALSE	FALSE	FALSE	35.6823873070559	3	TRUE
"ACSL5"	FALSE	FALSE	FALSE	120.478609499575	3	TRUE
"ACSL6"	FALSE	FALSE	FALSE	6.07130926230715	3	TRUE
"ACSM3"	FALSE	FALSE	FALSE	20.8611400261131	3	TRUE
"ACSS1"	FALSE	FALSE	FALSE	35.8785483177331	3	TRUE
"ACSS2"	FALSE	FALSE	FALSE	60.932880492227	3	TRUE
"ACTA2"	FALSE	FALSE	FALSE	192.803506291076	3	TRUE
