id_interaction,id_cp_interaction,multidata_1_id,multidata_2_id,source,annotation_strategy
169,CPI-SS0B80E0340,377,1257,OmniPath,user_curated
170,CPI-SS096DAAE34,439,1257,OmniPath,user_curated
171,CPI-SS0E2780DF4,512,1257,OmniPath,user_curated
172,CPI-SS0FA586A8F,518,1257,OmniPath,user_curated
173,CPI-SS016A1E72A,538,1257,OmniPath,user_curated
174,CPI-SS0461CFCB9,559,1257,OmniPath,user_curated
175,CPI-SS0483CE4ED,582,1257,OmniPath,user_curated
176,CPI-SS0EFA27923,1094,1257,OmniPath,user_curated
177,CPI-SS08321164A,291,1866,OmniPath,user_curated
178,CPI-SS05361A7E3,294,1866,OmniPath,user_curated
179,CPI-SS0627165F3,288,1866,OmniPath,user_curated
180,CPI-SS081D175BF,303,1866,OmniPath,user_curated
181,CPI-SS08A4B72C2,946,1866,OmniPath,user_curated
182,CPI-SS03CEE6CE0,287,1866,OmniPath,user_curated
183,CPI-SS0DA92E966,301,1866,OmniPath,user_curated
184,CPI-SS07C36EF72,302,1866,OmniPath,user_curated
185,CPI-SS0415E653E,511,1866,OmniPath,user_curated
186,CPI-SS0551A7A06,690,1866,OmniPath,user_curated
187,CPI-SS0D28C6577,298,1866,OmniPath,user_curated
188,CPI-SS0A5C47AFF,292,1866,OmniPath,user_curated
189,CPI-SS0E45C5D8E,293,1866,OmniPath,user_curated
190,CPI-SS0C2C302E8,300,1866,OmniPath,user_curated
191,CPI-SS02AFAD307,377,1866,OmniPath,user_curated
192,CPI-SS09A9AB266,439,1866,OmniPath,user_curated
193,CPI-SS0FEE62FC9,512,1866,OmniPath,user_curated
194,CPI-SS0B9C76D3B,518,1866,OmniPath,user_curated
195,CPI-SS062F6853D,538,1866,OmniPath,user_curated
196,CPI-SS051191228,559,1866,OmniPath,user_curated
197,CPI-SS0C5A54755,582,1866,OmniPath,user_curated
198,CPI-SS0CAC2F423,1094,1866,OmniPath,user_curated
199,CPI-SS0621F939C,1591,1866,OmniPath,user_curated
200,CPI-SS03C05DCDA,1747,1866,OmniPath,user_curated
201,CPI-SS0940786D7,1789,1866,OmniPath,user_curated
202,CPI-SS070F6E952,291,2012,OmniPath,user_curated
203,CPI-SS0E2D1E45E,294,2012,OmniPath,user_curated
204,CPI-SS03F2D0912,288,2012,OmniPath,user_curated
205,CPI-SS0B8AC8BCE,303,2012,OmniPath,user_curated
206,CPI-SS07297A3AD,946,2012,OmniPath,user_curated
207,CPI-SS0921F19C4,287,2012,OmniPath,user_curated
208,CPI-SS01B54EB39,301,2012,OmniPath,user_curated
209,CPI-SS06227FA1E,302,2012,OmniPath,user_curated
210,CPI-SS076C94EB3,511,2012,OmniPath,user_curated
211,CPI-SS0FB408308,690,2012,OmniPath,user_curated
212,CPI-SS0852C7016,298,2012,OmniPath,user_curated
213,CPI-SS038EF3E64,292,2012,OmniPath,user_curated
214,CPI-SS0FFF04BFE,293,2012,OmniPath,user_curated
215,CPI-SS0DE4B6604,300,2012,OmniPath,user_curated
216,CPI-SS0527B9DF1,377,2012,OmniPath,user_curated
217,CPI-SS0A33C29F5,439,2012,OmniPath,user_curated
218,CPI-SS06B1428D4,512,2012,OmniPath,user_curated
219,CPI-SS03A1A576C,518,2012,OmniPath,user_curated
220,CPI-SS0FAB71999,538,2012,OmniPath,user_curated
221,CPI-SS0DE9EFD49,559,2012,OmniPath,user_curated
222,CPI-SS0FB389004,582,2012,OmniPath,user_curated
223,CPI-SS055FC8123,1094,2012,OmniPath,user_curated
224,CPI-SS0CB579E18,1591,2012,OmniPath,user_curated
225,CPI-SS02AB3872D,1747,2012,OmniPath,user_curated
226,CPI-SS0871A0178,1789,2012,OmniPath,user_curated
227,CPI-SS0BC790049,398,1055,OmniPath,user_curated
228,CPI-SS0FA1CF3F1,541,1055,OmniPath,user_curated
229,CPI-SS06F08BB30,604,1055,OmniPath,user_curated
230,CPI-SS0CE1B094B,361,1055,OmniPath,user_curated
231,CPI-SS0EE803797,39,1055,OmniPath,user_curated
232,CPI-SS08D1F109F,91,1055,OmniPath,user_curated
233,CPI-SS047B16724,55,1055,OmniPath,user_curated
234,CPI-SS08D6A46CE,273,1055,OmniPath,user_curated
235,CPI-SS08924CEA4,360,1055,OmniPath,user_curated
236,CPI-SS050723F08,405,1055,OmniPath,user_curated
237,CPI-SS04C68EE3A,840,1055,OmniPath,user_curated
238,CPI-SS09085A7C7,22,1055,OmniPath,user_curated
239,CPI-SS0A0AFF15D,90,1055,OmniPath,user_curated
240,CPI-SS0D3241801,125,1055,OmniPath,user_curated
241,CPI-SS0859D5091,271,1055,OmniPath,user_curated
242,CPI-SS0FE832A6C,274,1055,OmniPath,user_curated
243,CPI-SS05786495D,276,1055,OmniPath,user_curated
244,CPI-SS014CB3751,288,1055,OmniPath,user_curated
245,CPI-SS044A6E7BF,289,1055,OmniPath,user_curated
246,CPI-SS0EE489CC0,290,1055,OmniPath,user_curated
247,CPI-SS0425491E0,304,1055,OmniPath,user_curated
248,CPI-SS03E5DCB51,305,1055,OmniPath,user_curated
249,CPI-SS001FB44E8,359,1055,OmniPath,user_curated
250,CPI-SS0D1D3B02E,375,1055,OmniPath,user_curated
251,CPI-SS0955455A4,57,1055,OmniPath,user_curated
252,CPI-SS0A1B5E060,501,1055,OmniPath,user_curated
253,CPI-SS0D34305D4,524,1055,OmniPath,user_curated
254,CPI-SS09920B1BC,537,1055,OmniPath,user_curated
255,CPI-SS04E812FB5,707,1055,OmniPath,user_curated
256,CPI-SS04C880702,708,1055,OmniPath,user_curated
257,CPI-SS0CC8AA387,722,1055,OmniPath,user_curated
258,CPI-SS0C574B62E,736,1055,OmniPath,user_curated
259,CPI-SS0642164E0,767,1055,OmniPath,user_curated
260,CPI-SS0EB062488,1017,1055,OmniPath,user_curated
261,CPI-SS0AA82A168,398,1073,OmniPath,user_curated
262,CPI-SS0BF944C6D,604,1073,OmniPath,user_curated
263,CPI-SS080683E15,361,1073,OmniPath,user_curated
264,CPI-SS019501253,39,1073,OmniPath,user_curated
