id_protein,protein_name,tags,tags_reason,tags_description,protein_multidata_id
243,NCR2_HUMAN,To_add,,,243
244,EFEMP2_HUMAN,To_add,,,244
245,LGI1_HUMAN,To_add,,,245
246,BMP15_HUMAN,To_add,,,246
247,RECK_HUMAN,To_add,,,247
248,AGR2_HUMAN,To_add,,,248
249,IL18BP_HUMAN,To_add,,,249
250,WNT11_HUMAN,To_add,,,250
251,CP_HUMAN,To_add,,,251
252,F8_HUMAN,To_add,,,252
253,F13A1_HUMAN,To_add,,,253
254,EGFR_HUMAN,To_add,,,254
255,F2_HUMAN,To_add,,,255
256,HP_HUMAN,To_add,,,256
257,F9_HUMAN,To_add,,,257
258,F10_HUMAN,To_add,,,258
259,PLG_HUMAN,To_add,,,259
260,F12_HUMAN,To_add,,,260
261,PLAU_HUMAN,To_add,,,261
262,PLAT_HUMAN,To_add,,,262
263,REN_HUMAN,To_add,,,263
264,ADA_HUMAN,To_add,,,264
265,CA2_HUMAN,To_add,,,265
266,SPINK1_HUMAN,To_add,,,266
267,SERPINC1_HUMAN,To_add,,,267
268,SERPINA1_HUMAN,To_add,,,268
269,AGT_HUMAN,To_add,,,269
270,A2M_HUMAN,To_add,,,270
271,C3_HUMAN,To_add,,,271
272,C5_HUMAN,To_add,,,272
273,TIMP1_HUMAN,To_add,,,273
274,KNG1_HUMAN,To_add,,,274
275,HRAS_HUMAN,To_add,,,275
276,PDGFB_HUMAN,To_add,,,276
277,LDLR_HUMAN,To_add,,,277
278,EGF_HUMAN,To_add,,,278
279,TGFA_HUMAN,To_add,,,279
280,TGFB1_HUMAN,To_add,,,280
281,NGF_HUMAN,To_add,,,281
282,GNRH1_HUMAN,To_add,,,282
283,NPPA_HUMAN,To_add,,,283
284,OXT_HUMAN,To_add,,,284
285,AVP_HUMAN,To_add,,,285
286,POMC_HUMAN,To_add,,,286
287,PENK_HUMAN,To_add,,,287
288,PDYN_HUMAN,To_add,,,288
289,CGA_HUMAN,To_add,,,289
290,TSHB_HUMAN,To_add,,,290
291,FSHB_HUMAN,To_add,,,291
292,LHB_HUMAN,To_add,,,292
293,PRL_HUMAN,To_add,,,293
294,GH1_HUMAN,To_add,,,294
295,GH2_HUMAN,To_add,,,295
296,CALCA_HUMAN,To_add,,,296
297,TG_HUMAN,To_add,,,297
298,PTH_HUMAN,To_add,,,298
299,GCG_HUMAN,To_add,,,299
300,VIP_HUMAN,To_add,,,300
301,GHRH_HUMAN,To_add,,,301
302,PPY_HUMAN,To_add,,,302
303,NPY_HUMAN,To_add,,,303
304,INS_HUMAN,To_add,,,304
305,IGF2_HUMAN,To_add,,,305
306,GAST_HUMAN,To_add,,,306
307,LTA_HUMAN,To_add,,,307
308,TNF_HUMAN,To_add,,,308
309,IFNA1_HUMAN,To_add,,,309
310,IFNA2_HUMAN,To_add,,,310
311,IFNA10_HUMAN,To_add,,,311
312,IFNA7_HUMAN,To_add,,,312
313,IFNA21_HUMAN,To_add,,,313
314,IFNA5_HUMAN,To_add,,,314
315,IFNA14_HUMAN,To_add,,,315
316,IFNA17_HUMAN,To_add,,,316
317,IFNB1_HUMAN,To_add,,,317
318,IFNG_HUMAN,To_add,,,318
319,IL1A_HUMAN,To_add,,,319
320,IL1B_HUMAN,To_add,,,320
321,EPO_HUMAN,To_add,,,321
322,IL2RA_HUMAN,To_add,,,322
323,CD4_HUMAN,To_add,,,323
324,CD8A_HUMAN,To_add,,,324
325,PIGR_HUMAN,To_add,,,325
326,HLA-B_HUMAN,To_add,,,326
327,HLA-DRA_HUMAN,To_add,,,327
328,HLA-DQA2_HUMAN,To_add,,,328
329,HLA-DQA1_HUMAN,To_add,,,329
330,HLA-DRB1_HUMAN,To_add,,,330
331,HLA-DQB1_HUMAN,To_add,,,331
332,COL1A1_HUMAN,To_add,,,332
333,COL2A1_HUMAN,To_add,,,333
334,COL3A1_HUMAN,To_add,,,334
335,COL4A1_HUMAN,To_add,,,335
336,APOA1_HUMAN,To_add,,,336
337,APOE_HUMAN,To_add,,,337
338,APOA2_HUMAN,To_add,,,338
339,APOC1_HUMAN,To_add,,,339
340,APOC2_HUMAN,To_add,,,340
341,APOC3_HUMAN,To_add,,,341
342,FGA_HUMAN,To_add,,,342
343,FGB_HUMAN,To_add,,,343
344,FGG_HUMAN,To_add,,,344
345,MBP_HUMAN,To_add,,,345
346,CHRNA1_HUMAN,To_add,,,346
347,CRP_HUMAN,To_add,,,347
348,C1QA_HUMAN,To_add,,,348
349,C1QB_HUMAN,To_add,,,349
350,FN1_HUMAN,To_add,,,350
351,RBP4_HUMAN,To_add,,,351
352,ORM1_HUMAN,To_add,,,352
353,AHSG_HUMAN,To_add,,,353
354,TTR_HUMAN,To_add,,,354
355,ALB_HUMAN,To_add,,,355
356,GC_HUMAN,To_add,,,356
357,PPBP_HUMAN,To_add,,,357
358,PF4_HUMAN,To_add,,,358
359,CXCL10_HUMAN,To_add,,,359
360,TFRC_HUMAN,To_add,,,360
361,TF_HUMAN,To_add,,,361
362,LTF_HUMAN,To_add,,,362
363,HPX_HUMAN,To_add,,,363
364,ESR1_HUMAN,To_add,,,364
