id_gene,ensembl,gene_name,hgnc_symbol,protein_id
1375,ENSG00000276615,KEL,KEL,775
1376,ENSG00000134313,KIDINS220,KIDINS220,2139
1377,ENSG00000278495,KIR2DL1,KIR2DL1,1027
1378,ENSG00000284401,KIR2DL1,KIR2DL1,1027
1379,ENSG00000275276,KIR2DL1,KIR2DL1,1027
1380,ENSG00000274692,KIR2DL1,KIR2DL1,1027
1381,ENSG00000275080,KIR2DL1,KIR2DL1,1027
1382,ENSG00000278248,KIR2DL1,KIR2DL1,1027
1383,ENSG00000276310,KIR2DL1,KIR2DL1,1027
1384,ENSG00000278805,KIR2DL1,KIR2DL1,1027
1385,ENSG00000274782,KIR2DL1,KIR2DL1,1027
1386,ENSG00000276625,KIR2DL1,KIR2DL1,1027
1387,ENSG00000278755,KIR2DL1,KIR2DL1,1027
1388,ENSG00000273794,KIR2DL1,KIR2DL1,1027
1389,ENSG00000125498,KIR2DL1,KIR2DL1,1027
1390,ENSG00000278503,KIR2DL1,KIR2DL1,1027
1391,ENSG00000283723,KIR2DL1,KIR2DL1,1027
1392,ENSG00000284514,KIR2DL1,KIR2DL1,1027
1393,ENSG00000284145,KIR2DL1,KIR2DL1,1027
1394,ENSG00000284100,KIR2DL1,KIR2DL1,1027
1395,ENSG00000284347,KIR2DL1,KIR2DL1,1027
1396,ENSG00000275522,KIR2DL1,KIR2DL1,1027
1397,ENSG00000284530,KIR2DL1,KIR2DL1,1027
1398,ENSG00000273510,KIR2DL1,KIR2DL1,1027
1399,ENSG00000277616,KIR2DL1,KIR2DL1,1027
1400,ENSG00000278207,KIR2DL1,KIR2DL1,1027
1401,ENSG00000275750,KIR2DL1,KIR2DL1,1027
1402,ENSG00000276820,KIR2DL1,KIR2DL1,1027
1403,ENSG00000274926,KIR2DL1,KIR2DL1,1027
1404,ENSG00000277356,KIR2DL1,KIR2DL1,1027
1405,ENSG00000284551,KIR2DL1,KIR2DL1,1027
1406,ENSG00000275196,KIR2DL1,KIR2DL1,1027
1407,ENSG00000277833,KIR2DL1,KIR2DL1,1027
1408,ENSG00000278821,KIR2DL1,KIR2DL1,1027
1409,ENSG00000278738,KIR2DL1,KIR2DL1,1027
1410,ENSG00000276011,KIR2DL2,KIR2DL2,1028
1411,ENSG00000278731,KIR2DL2,KIR2DL2,1028
1412,ENSG00000275546,KIR2DL2,KIR2DL2,1028
1413,ENSG00000277725,KIR2DL2,KIR2DL2,1028
1414,ENSG00000275914,KIR2DL2,KIR2DL2,1028
1415,ENSG00000277251,KIR2DL2,KIR2DL2,1028
1416,ENSG00000275960,KIR2DL2,KIR2DL2,1028
1417,ENSG00000275407,KIR2DL2,KIR2DL2,1028
1418,ENSG00000276731,KIR2DL2,KIR2DL2,1028
1419,ENSG00000274412,KIR2DL2,KIR2DL2,1028
1420,ENSG00000277554,KIR2DL3,KIR2DL3,1029
1421,ENSG00000243772,KIR2DL3,KIR2DL3,1029
1422,ENSG00000284044,KIR2DL3,KIR2DL3,1029
1423,ENSG00000284241,KIR2DL3,KIR2DL3,1029
1424,ENSG00000284236,KIR2DL3,KIR2DL3,1029
1425,ENSG00000283790,KIR2DL3,KIR2DL3,1029
1426,ENSG00000283996,KIR2DL3,KIR2DL3,1029
1427,ENSG00000284333,KIR2DL3,KIR2DL3,1029
1428,ENSG00000283708,KIR2DL3,KIR2DL3,1029
1429,ENSG00000283702,KIR2DL3,KIR2DL3,1029
1430,ENSG00000284132,KIR2DL3,KIR2DL3,1029
1431,ENSG00000284504,KIR2DL3,KIR2DL3,1029
1432,ENSG00000274410,KIR2DL3,KIR2DL3,1029
1433,ENSG00000284510,KIR2DL3,KIR2DL3,1029
1434,ENSG00000274830,KIR2DL3,KIR2DL3,1029
1435,ENSG00000276218,KIR2DL3,KIR2DL3,1029
1436,ENSG00000276459,KIR2DL3,KIR2DL3,1029
1437,ENSG00000278369,KIR2DL3,KIR2DL3,1029
1438,ENSG00000275008,KIR2DL3,KIR2DL3,1029
1439,ENSG00000273947,KIR2DL3,KIR2DL3,1029
1440,ENSG00000275623,KIR2DL3,KIR2DL3,1029
1441,ENSG00000275658,KIR2DL3,KIR2DL3,1029
1442,ENSG00000274402,KIR2DL3,KIR2DL3,1029
1443,ENSG00000274952,KIR2DL3,KIR2DL3,1029
1444,ENSG00000274108,KIR2DL3,KIR2DL3,1029
1445,ENSG00000277924,KIR2DL3,KIR2DL3,1029
1446,ENSG00000276590,KIR2DL3,KIR2DL3,1029
1447,ENSG00000273887,KIR2DL3,KIR2DL3,1029
1448,ENSG00000277317,KIR2DL3,KIR2DL3,1029
1449,ENSG00000277484,KIR2DL3,KIR2DL3,1029
1450,ENSG00000278327,KIR2DL3,KIR2DL3,1029
1451,ENSG00000275699,KIR2DL4,KIR2DL4,1868
1452,ENSG00000274955,KIR2DL4,KIR2DL4,1868
1453,ENSG00000275317,KIR2DL4,KIR2DL4,1868
1454,ENSG00000278074,KIR2DL4,KIR2DL4,1868
1455,ENSG00000284509,KIR2DL4,KIR2DL4,1868
1456,ENSG00000277850,KIR2DL4,KIR2DL4,1868
1457,ENSG00000274945,KIR2DL4,KIR2DL4,1868
1458,ENSG00000275237,KIR2DL4,KIR2DL4,1868
1459,ENSG00000277355,KIR2DL4,KIR2DL4,1868
1460,ENSG00000274232,KIR2DL4,KIR2DL4,1868
1461,ENSG00000275732,KIR2DL4,KIR2DL4,1868
1462,ENSG00000189013,KIR2DL4,KIR2DL4,1868
1463,ENSG00000274609,KIR2DL4,KIR2DL4,1868
1464,ENSG00000277750,KIR2DL4,KIR2DL4,1868
1465,ENSG00000277540,KIR2DL4,KIR2DL4,1868
1466,ENSG00000276979,KIR2DL4,KIR2DL4,1868
1467,ENSG00000274193,KIR2DL4,KIR2DL4,1868
1468,ENSG00000278606,KIR2DL4,KIR2DL4,1868
1469,ENSG00000273575,KIR2DL4,KIR2DL4,1868
1470,ENSG00000273498,KIR2DL4,KIR2DL4,1868
1471,ENSG00000274189,KIR2DL4,KIR2DL4,1868
1472,ENSG00000275456,KIR2DL4,KIR2DL4,1868
1473,ENSG00000277362,KIR2DL4,KIR2DL4,1868
1474,ENSG00000278271,KIR2DL4,KIR2DL4,1868
1475,ENSG00000276044,KIR2DL4,KIR2DL4,1868
