"interaction_ID","community","CPDB","NicheNet","CellChat"
"Gran:RPS27A_HSPC:SMAD3",TRUE,FALSE,FALSE,TRUE
"Gran:UBA52_HSPC:SMAD3",TRUE,FALSE,FALSE,TRUE
"Gran:UBB_HSPC:SMAD3",TRUE,FALSE,FALSE,FALSE
"Gran:UBC_HSPC:SMAD3",TRUE,FALSE,FALSE,FALSE
"Gran:TYK2_Ery:IFNAR2",TRUE,FALSE,FALSE,FALSE
"Gran:TIMP1_Ery:CD63",TRUE,TRUE,FALSE,TRUE
"Gran:FYN_Ery:SPN",TRUE,TRUE,TRUE,TRUE
"Gran:S100A12_Ery:CD36",TRUE,TRUE,FALSE,TRUE
"Gran:CALR_Ery:ITGA2B",TRUE,FALSE,FALSE,TRUE
"Gran:RETN_Ery:CAP1",TRUE,TRUE,TRUE,TRUE
"Gran:CD99_Ery:PILRB",TRUE,FALSE,FALSE,FALSE
"Gran:HLA-DRA_Ery:CD63",TRUE,TRUE,FALSE,TRUE
"Gran:HLA-DRB1_Ery:CD81",TRUE,TRUE,TRUE,TRUE
"Gran:JAK1_Ery:IFNAR2",TRUE,FALSE,FALSE,FALSE
"Gran:ADAM17_Ery:MUC1",TRUE,TRUE,FALSE,TRUE
"Gran:HBEGF_Ery:CD82",TRUE,TRUE,FALSE,TRUE
"Gran:GNAI2_Ery:S1PR4",TRUE,FALSE,FALSE,FALSE
"Gran:GSTP1_Ery:TRAF2",TRUE,FALSE,FALSE,TRUE
"Gran:PSEN1_Ery:NOTCH2",TRUE,FALSE,FALSE,FALSE
"Gran:APP_Ery:NOTCH2",TRUE,FALSE,FALSE,FALSE
"Gran:CD14_Ery:RIPK1",TRUE,TRUE,FALSE,TRUE
"Gran:CALM1_Ery:KCNN4",TRUE,TRUE,FALSE,TRUE
"Gran:HLA-E_Ery:SLC16A4",TRUE,FALSE,FALSE,FALSE
"Gran:CD44_Ery:EPCAM",TRUE,TRUE,FALSE,TRUE
"Gran:LRPAP1_Ery:CD320",TRUE,TRUE,TRUE,FALSE
"Gran:FCGRT_Ery:IGFLR1",TRUE,FALSE,FALSE,TRUE
"Gran:STUB1_Ery:DNAJA3",TRUE,FALSE,FALSE,FALSE
"Gran:LGALS3_Ery:ENG",TRUE,TRUE,FALSE,TRUE
