"","interaction_ID","sender_celltype","sender_gene","receiver_celltype","receiver_gene","ligand_log2FC","ligand_p_val_adj","receptor_log2FC","receptor_p_val_adj"
"5692","HSPC:VIM_NK:CD44","HSPC","VIM","NK","CD44",NA,NA,0.261949285192484,8.29308871850973e-24
"5693","T:ADAM10_NK:CD44","T","ADAM10","NK","CD44",NA,NA,0.261949285192484,8.29308871850973e-24
"5694","T:ADAM10_NK:TSPAN14","T","ADAM10","NK","TSPAN14",NA,NA,NA,NA
"5695","T:ADAM10_NK:TSPAN17","T","ADAM10","NK","TSPAN17",NA,NA,NA,NA
"5696","T:ADAM17_NK:ITGB1","T","ADAM17","NK","ITGB1",NA,NA,NA,NA
"5697","T:ADAM17_NK:RHBDF2","T","ADAM17","NK","RHBDF2",NA,NA,NA,NA
"5698","T:CALM1_NK:PDE1B","T","CALM1","NK","PDE1B",NA,NA,NA,NA
"5699","T:CALM1_NK:PTPRA","T","CALM1","NK","PTPRA",NA,NA,NA,NA
"5700","T:CALM1_NK:SELL","T","CALM1","NK","SELL",NA,NA,-0.352767323203328,7.44971352474872e-17
"5701","T:CALM2_NK:PDE1B","T","CALM2","NK","PDE1B",NA,NA,NA,NA
"5702","T:CALM2_NK:SELL","T","CALM2","NK","SELL",NA,NA,-0.352767323203328,7.44971352474872e-17
"5703","T:COPA_NK:CD74","T","COPA","NK","CD74",NA,NA,NA,NA
"5704","T:HLA-C_NK:CD81","T","HLA-C","NK","CD81",NA,NA,NA,NA
"5705","T:HLA-C_NK:KIR3DL1","T","HLA-C","NK","KIR3DL1",NA,NA,NA,NA
"5706","T:HLA-DPB1_NK:LAG3","T","HLA-DPB1","NK","LAG3",NA,NA,NA,NA
"5707","T:HLA-E_NK:KIR3DL1","T","HLA-E","NK","KIR3DL1",NA,NA,NA,NA
"5708","T:HLA-E_NK:KLRC2","T","HLA-E","NK","KLRC2",NA,NA,NA,NA
"5709","T:HLA-E_NK:KLRC3","T","HLA-E","NK","KLRC3",NA,NA,NA,NA
"5710","T:HLA-E_NK:KLRD1","T","HLA-E","NK","KLRD1",NA,NA,-0.375797224755398,7.63201064959123e-76
"5711","T:HLA-E_NK:KLRK1","T","HLA-E","NK","KLRK1",NA,NA,NA,NA
"5712","T:HMGB1_NK:CXCR4","T","HMGB1","NK","CXCR4",NA,NA,0.684933591009605,2.59210809391002e-128
"5713","T:HMGB1_NK:HAVCR2","T","HMGB1","NK","HAVCR2",NA,NA,NA,NA
"5714","T:ITGB2_NK:CD226","T","ITGB2","NK","CD226",NA,NA,NA,NA
"5715","T:LMAN1_NK:MCFD2","T","LMAN1","NK","MCFD2",NA,NA,NA,NA
"5716","T:MIF_NK:CD44","T","MIF","NK","CD44",NA,NA,0.261949285192484,8.29308871850973e-24
"5717","T:MIF_NK:CD74","T","MIF","NK","CD74",NA,NA,NA,NA
"5718","T:MIF_NK:CXCR4","T","MIF","NK","CXCR4",NA,NA,0.684933591009605,2.59210809391002e-128
