"","interaction_ID","AML-0024","AML-0160","AML-0693","AML-1371","AML-2123","AML-3133","AML-4340","healthy-1","healthy-2","healthy-3","healthy-4","healthy-4003","healthy-5"
"2845","HSPC:HLA-A_Mono:LILRB1",1.288,0,1.121,0.802,1.197,1.168,1.145,0.617,0.821,0.855,0.98,1.133,1.094
"2846","HSPC:HLA-A_NK:LILRB1",0,0,0,0.645,1.178,0,0,0,0,0,0,0,0
"2847","HSPC:HLA-A_T:LILRB1",0,0,0,0.591,0,0,0,0,0,0,0,0,0
"2848","NK:HLA-F_B:LILRB1",0,0,0,0.87,0,0,0.525,0,0,0,0,0,0
"2849","NK:HLA-F_DC:LILRB1",0.692,0,0.276,0.808,0,0.44,0,0,0,0.547,0.656,0.356,0.551
"2850","NK:HLA-F_Ery:LILRB1",0.563,0,0,0,0,0,0,0,0,0,0,0,0
"2851","NK:HLA-F_Gran:LILRB1",0.535,0,0,0,0,0,0,0,0,0,0.563,0,0
"2852","NK:HLA-F_Mono:LILRB1",0.803,0,0.289,1.041,0.575,0.482,0.536,0.366,0.407,0.652,0.715,0.508,0.587
"2853","NK:HLA-F_NK:LILRB1",0,0,0,0.885,0.555,0,0,0,0,0,0,0,0
"2854","NK:HLA-F_T:LILRB1",0,0,0,0.83,0,0,0,0,0,0,0,0,0
"2855","HSPC:HLA-A_DC:LILRB2",1.169,0.967,0,0.654,0,0,0,0.602,0.798,0.761,0.876,0.974,1.086
"2856","HSPC:HLA-A_Gran:LILRB2",1.052,1.001,0,0.591,0,0,0,0.652,0.821,0.785,0.911,1.011,1.073
"2857","HSPC:HLA-A_Mono:LILRB2",1.396,1.082,1.331,0.952,1.248,1.33,1.293,0.751,0.929,0.931,1.127,1.38,1.326
"2858","NK:HLA-F_DC:LILRB2",0.684,0,0,0.893,0,0,0,0.35,0.385,0.558,0.612,0.349,0.579
"2859","NK:HLA-F_Gran:LILRB2",0.567,0,0,0.83,0,0,0,0.401,0.407,0.581,0.647,0.386,0.566
"2860","NK:HLA-F_Mono:LILRB2",0.911,0,0.499,1.191,0.625,0.644,0.684,0.499,0.516,0.728,0.863,0.755,0.819
"2861","DC:FCGRT_DC:LILRB2",0.71,0.711,0,0.283,0,0,0,0.634,0.746,0.833,0.731,0.752,0.704
"2862","DC:FCGRT_Gran:LILRB2",0.594,0.745,0,0.22,0,0,0,0.684,0.769,0.857,0.766,0.789,0.692
"2863","DC:FCGRT_Mono:LILRB2",0.937,0.826,0.661,0.581,0,0,0.581,0.782,0.877,1.003,0.982,1.157,0.945
"2864","Ery:FCGRT_DC:LILRB2",0,0.123,0,0.144,0,0,0,0.496,0.448,0.353,0.527,0.644,0.552
"2865","Ery:FCGRT_Gran:LILRB2",0,0.157,0,0.081,0,0,0,0.547,0.47,0.377,0.561,0.681,0.54
