"","interaction_ID","sender_celltype","sender_gene","receiver_celltype","receiver_gene","ligand_log2FC","ligand_p_val_adj","receptor_log2FC","receptor_p_val_adj","direction"
"413","DC:INHBA_T:TGFB1","DC","INHBA","T","TGFB1",NA,NA,0.398892403558256,4.92179456757968e-175,"down"
"414","HSPC:INHBA_T:TGFB1","HSPC","INHBA","T","TGFB1",NA,NA,0.398892403558256,4.92179456757968e-175,"up"
"415","DC:CXCL9_Mono:FCGR2A","DC","CXCL9","Mono","FCGR2A",NA,NA,0.290412349262717,6.60562106120247e-208,"down"
"416","B:IL16_Gran:CD4","B","IL16","Gran","CD4",NA,NA,0.258136908424362,3.09691766709505e-37,"down"
"417","DC:IL16_Gran:CD4","DC","IL16","Gran","CD4",NA,NA,0.258136908424362,3.09691766709505e-37,"down"
"418","Gran:IL16_Gran:CD4","Gran","IL16","Gran","CD4",NA,NA,0.258136908424362,3.09691766709505e-37,"down"
"419","HSPC:IL16_Gran:CD4","HSPC","IL16","Gran","CD4",NA,NA,0.258136908424362,3.09691766709505e-37,"down"
"420","Mono:IL16_Gran:CD4","Mono","IL16","Gran","CD4",NA,NA,0.258136908424362,3.09691766709505e-37,"down"
"421","NK:IL16_Gran:CD4","NK","IL16","Gran","CD4",NA,NA,0.258136908424362,3.09691766709505e-37,"down"
"422","T:IL16_Gran:CD4","T","IL16","Gran","CD4",NA,NA,0.258136908424362,3.09691766709505e-37,"down"
"423","B:IL16_DC:CD9","B","IL16","DC","CD9",NA,NA,0.348601194727226,1.73146931709399e-36,"down"
"424","DC:IL16_DC:CD9","DC","IL16","DC","CD9",NA,NA,0.348601194727226,1.73146931709399e-36,"down"
"425","Gran:IL16_DC:CD9","Gran","IL16","DC","CD9",NA,NA,0.348601194727226,1.73146931709399e-36,"down"
