"","interaction_ID","sender_celltype","sender_gene","receiver_celltype","receiver_gene","ligand_log2FC","ligand_p_val_adj","receptor_log2FC","receptor_p_val_adj","direction"
"969","B:PSEN1_B:CD44","B","PSEN1","B","CD44",NA,NA,0.30255921203662,2.28594521517211e-32,"down"
"970","DC:PSEN1_B:CD44","DC","PSEN1","B","CD44",NA,NA,0.30255921203662,2.28594521517211e-32,"down"
"971","Ery:PSEN1_B:CD44","Ery","PSEN1","B","CD44",NA,NA,0.30255921203662,2.28594521517211e-32,"down"
"972","Gran:PSEN1_B:CD44","Gran","PSEN1","B","CD44",NA,NA,0.30255921203662,2.28594521517211e-32,"down"
"973","HSPC:PSEN1_B:CD44","HSPC","PSEN1","B","CD44",NA,NA,0.30255921203662,2.28594521517211e-32,"down"
"974","Mono:PSEN1_B:CD44","Mono","PSEN1","B","CD44",NA,NA,0.30255921203662,2.28594521517211e-32,"down"
"975","NK:PSEN1_B:CD44","NK","PSEN1","B","CD44",NA,NA,0.30255921203662,2.28594521517211e-32,"down"
"976","T:PSEN1_B:CD44","T","PSEN1","B","CD44",NA,NA,0.30255921203662,2.28594521517211e-32,"down"
"977","B:PSEN1_DC:CD44","B","PSEN1","DC","CD44",NA,NA,0.359023389652187,4.93839176811804e-21,"down"
"978","DC:PSEN1_DC:CD44","DC","PSEN1","DC","CD44",NA,NA,0.359023389652187,4.93839176811804e-21,"down"
"979","Ery:PSEN1_DC:CD44","Ery","PSEN1","DC","CD44",NA,NA,0.359023389652187,4.93839176811804e-21,"down"
"980","Gran:PSEN1_DC:CD44","Gran","PSEN1","DC","CD44",NA,NA,0.359023389652187,4.93839176811804e-21,"down"
"981","HSPC:PSEN1_DC:CD44","HSPC","PSEN1","DC","CD44",NA,NA,0.359023389652187,4.93839176811804e-21,"down"
"982","Mono:PSEN1_DC:CD44","Mono","PSEN1","DC","CD44",NA,NA,0.359023389652187,4.93839176811804e-21,"down"
"983","NK:PSEN1_DC:CD44","NK","PSEN1","DC","CD44",NA,NA,0.359023389652187,4.93839176811804e-21,"down"
"984","T:PSEN1_DC:CD44","T","PSEN1","DC","CD44",NA,NA,0.359023389652187,4.93839176811804e-21,"down"
"985","B:PSEN1_HSPC:CD44","B","PSEN1","HSPC","CD44",NA,NA,0.532332643147725,2.78177603073879e-82,"up"
"986","DC:PSEN1_HSPC:CD44","DC","PSEN1","HSPC","CD44",NA,NA,0.532332643147725,2.78177603073879e-82,"down"
"987","Ery:PSEN1_HSPC:CD44","Ery","PSEN1","HSPC","CD44",NA,NA,0.532332643147725,2.78177603073879e-82,"down"
"988","Gran:PSEN1_HSPC:CD44","Gran","PSEN1","HSPC","CD44",NA,NA,0.532332643147725,2.78177603073879e-82,"down"
"989","HSPC:PSEN1_HSPC:CD44","HSPC","PSEN1","HSPC","CD44",NA,NA,0.532332643147725,2.78177603073879e-82,"up"
"990","Mono:PSEN1_HSPC:CD44","Mono","PSEN1","HSPC","CD44",NA,NA,0.532332643147725,2.78177603073879e-82,"down"
"991","NK:PSEN1_HSPC:CD44","NK","PSEN1","HSPC","CD44",NA,NA,0.532332643147725,2.78177603073879e-82,"down"
"992","T:PSEN1_HSPC:CD44","T","PSEN1","HSPC","CD44",NA,NA,0.532332643147725,2.78177603073879e-82,"down"
"993","B:PSEN1_NK:CD44","B","PSEN1","NK","CD44",NA,NA,0.261949285192484,8.29308871850973e-24,"down"
"994","DC:PSEN1_NK:CD44","DC","PSEN1","NK","CD44",NA,NA,0.261949285192484,8.29308871850973e-24,"down"
"995","Ery:PSEN1_NK:CD44","Ery","PSEN1","NK","CD44",NA,NA,0.261949285192484,8.29308871850973e-24,"down"
"996","Gran:PSEN1_NK:CD44","Gran","PSEN1","NK","CD44",NA,NA,0.261949285192484,8.29308871850973e-24,"down"
"997","HSPC:PSEN1_NK:CD44","HSPC","PSEN1","NK","CD44",NA,NA,0.261949285192484,8.29308871850973e-24,"down"
"998","Mono:PSEN1_NK:CD44","Mono","PSEN1","NK","CD44",NA,NA,0.261949285192484,8.29308871850973e-24,"down"
"999","NK:PSEN1_NK:CD44","NK","PSEN1","NK","CD44",NA,NA,0.261949285192484,8.29308871850973e-24,"down"
"1000","T:PSEN1_NK:CD44","T","PSEN1","NK","CD44",NA,NA,0.261949285192484,8.29308871850973e-24,"down"
"1001","B:PSEN1_T:CD44","B","PSEN1","T","CD44",NA,NA,0.372921636490384,7.13047345198438e-170,"down"
"1002","DC:PSEN1_T:CD44","DC","PSEN1","T","CD44",NA,NA,0.372921636490384,7.13047345198438e-170,"down"
"1003","Ery:PSEN1_T:CD44","Ery","PSEN1","T","CD44",NA,NA,0.372921636490384,7.13047345198438e-170,"down"
"1004","Gran:PSEN1_T:CD44","Gran","PSEN1","T","CD44",NA,NA,0.372921636490384,7.13047345198438e-170,"down"
"1005","HSPC:PSEN1_T:CD44","HSPC","PSEN1","T","CD44",NA,NA,0.372921636490384,7.13047345198438e-170,"down"
"1006","Mono:PSEN1_T:CD44","Mono","PSEN1","T","CD44",NA,NA,0.372921636490384,7.13047345198438e-170,"down"
"1007","NK:PSEN1_T:CD44","NK","PSEN1","T","CD44",NA,NA,0.372921636490384,7.13047345198438e-170,"down"
"1008","T:PSEN1_T:CD44","T","PSEN1","T","CD44",NA,NA,0.372921636490384,7.13047345198438e-170,"down"
"1009","Ery:STUB1_Ery:DNAJA3","Ery","STUB1","Ery","DNAJA3",-0.365980916560987,-0.365980916560987,NA,NA,"down"
"1010","Ery:STUB1_HSPC:DNAJA3","Ery","STUB1","HSPC","DNAJA3",-0.365980916560987,-0.365980916560987,NA,NA,"down"
"1011","Ery:STUB1_NK:DNAJA3","Ery","STUB1","NK","DNAJA3",-0.365980916560987,-0.365980916560987,NA,NA,"down"
"1012","B:SYK_DC:FCGR2A","B","SYK","DC","FCGR2A",-0.297957072752454,-0.297957072752454,NA,NA,"down"
"1013","B:SYK_Ery:FCGR2A","B","SYK","Ery","FCGR2A",-0.297957072752454,-0.297957072752454,NA,NA,"down"
"1014","B:SYK_Gran:FCGR2A","B","SYK","Gran","FCGR2A",-0.297957072752454,-0.297957072752454,NA,NA,"down"
"1015","B:SYK_HSPC:FCGR2A","B","SYK","HSPC","FCGR2A",-0.297957072752454,-0.297957072752454,NA,NA,"down"
"1016","B:SYK_Mono:FCGR2A","B","SYK","Mono","FCGR2A",-0.297957072752454,-0.297957072752454,0.290412349262717,6.60562106120247e-208,"down"
"1017","DC:SYK_Mono:FCGR2A","DC","SYK","Mono","FCGR2A",NA,NA,0.290412349262717,6.60562106120247e-208,"down"
"1018","Ery:SYK_Mono:FCGR2A","Ery","SYK","Mono","FCGR2A",NA,NA,0.290412349262717,6.60562106120247e-208,"down"
"1019","Gran:SYK_Mono:FCGR2A","Gran","SYK","Mono","FCGR2A",NA,NA,0.290412349262717,6.60562106120247e-208,"down"
"1020","HSPC:SYK_Mono:FCGR2A","HSPC","SYK","Mono","FCGR2A",NA,NA,0.290412349262717,6.60562106120247e-208,"down"
"1021","Mono:SYK_Mono:FCGR2A","Mono","SYK","Mono","FCGR2A",NA,NA,0.290412349262717,6.60562106120247e-208,"down"
"1022","NK:SYK_Mono:FCGR2A","NK","SYK","Mono","FCGR2A",NA,NA,0.290412349262717,6.60562106120247e-208,"down"
"1023","B:SYK_Ery:EPOR","B","SYK","Ery","EPOR",-0.297957072752454,-0.297957072752454,NA,NA,"down"
"1024","B:SYK_HSPC:EPOR","B","SYK","HSPC","EPOR",-0.297957072752454,-0.297957072752454,NA,NA,"down"
"1025","B:SYK_Ery:LAT","B","SYK","Ery","LAT",-0.297957072752454,-0.297957072752454,NA,NA,"down"
"1026","B:SYK_Gran:LAT","B","SYK","Gran","LAT",-0.297957072752454,-0.297957072752454,NA,NA,"down"
"1027","B:SYK_HSPC:LAT","B","SYK","HSPC","LAT",-0.297957072752454,-0.297957072752454,NA,NA,"down"
"1028","B:SYK_NK:LAT","B","SYK","NK","LAT",-0.297957072752454,-0.297957072752454,NA,NA,"down"
"1029","B:SYK_T:LAT","B","SYK","T","LAT",-0.297957072752454,-0.297957072752454,NA,NA,"down"
"1030","B:CD69_DC:SIRPA","B","CD69","DC","SIRPA",0.557785417602027,0.557785417602027,NA,NA,"down"
"1031","T:CD69_DC:SIRPA","T","CD69","DC","SIRPA",0.413749974573962,0.413749974573962,NA,NA,"down"
"1032","B:CD69_Gran:SIRPA","B","CD69","Gran","SIRPA",0.557785417602027,0.557785417602027,NA,NA,"down"
"1033","T:CD69_Gran:SIRPA","T","CD69","Gran","SIRPA",0.413749974573962,0.413749974573962,NA,NA,"down"
"1034","B:CD69_HSPC:SIRPA","B","CD69","HSPC","SIRPA",0.557785417602027,0.557785417602027,NA,NA,"down"
"1035","T:CD69_HSPC:SIRPA","T","CD69","HSPC","SIRPA",0.413749974573962,0.413749974573962,NA,NA,"down"
"1036","B:CD69_Mono:SIRPA","B","CD69","Mono","SIRPA",0.557785417602027,0.557785417602027,NA,NA,"down"
"1037","T:CD69_Mono:SIRPA","T","CD69","Mono","SIRPA",0.413749974573962,0.413749974573962,NA,NA,"down"
"1038","DC:SELPLG_NK:ITGB2","DC","SELPLG","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1039","Ery:SELPLG_NK:ITGB2","Ery","SELPLG","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1040","Gran:SELPLG_NK:ITGB2","Gran","SELPLG","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1041","HSPC:SELPLG_NK:ITGB2","HSPC","SELPLG","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1042","Mono:SELPLG_NK:ITGB2","Mono","SELPLG","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1043","NK:SELPLG_NK:ITGB2","NK","SELPLG","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1044","T:SELPLG_NK:ITGB2","T","SELPLG","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1045","DC:SELPLG_B:SELL","DC","SELPLG","B","SELL",NA,NA,-0.427660334217215,1.73632689645397e-53,"down"
"1046","Ery:SELPLG_B:SELL","Ery","SELPLG","B","SELL",NA,NA,-0.427660334217215,1.73632689645397e-53,"down"
"1047","Gran:SELPLG_B:SELL","Gran","SELPLG","B","SELL",NA,NA,-0.427660334217215,1.73632689645397e-53,"down"
"1048","HSPC:SELPLG_B:SELL","HSPC","SELPLG","B","SELL",NA,NA,-0.427660334217215,1.73632689645397e-53,"down"
"1049","Mono:SELPLG_B:SELL","Mono","SELPLG","B","SELL",NA,NA,-0.427660334217215,1.73632689645397e-53,"down"
"1050","NK:SELPLG_B:SELL","NK","SELPLG","B","SELL",NA,NA,-0.427660334217215,1.73632689645397e-53,"down"
"1051","T:SELPLG_B:SELL","T","SELPLG","B","SELL",NA,NA,-0.427660334217215,1.73632689645397e-53,"down"
"1052","DC:SELPLG_NK:SELL","DC","SELPLG","NK","SELL",NA,NA,-0.352767323203328,7.44971352474872e-17,"down"
"1053","Ery:SELPLG_NK:SELL","Ery","SELPLG","NK","SELL",NA,NA,-0.352767323203328,7.44971352474872e-17,"down"
"1054","Gran:SELPLG_NK:SELL","Gran","SELPLG","NK","SELL",NA,NA,-0.352767323203328,7.44971352474872e-17,"down"
"1055","HSPC:SELPLG_NK:SELL","HSPC","SELPLG","NK","SELL",NA,NA,-0.352767323203328,7.44971352474872e-17,"down"
"1056","Mono:SELPLG_NK:SELL","Mono","SELPLG","NK","SELL",NA,NA,-0.352767323203328,7.44971352474872e-17,"down"
"1057","NK:SELPLG_NK:SELL","NK","SELPLG","NK","SELL",NA,NA,-0.352767323203328,7.44971352474872e-17,"down"
"1058","T:SELPLG_NK:SELL","T","SELPLG","NK","SELL",NA,NA,-0.352767323203328,7.44971352474872e-17,"down"
"1059","Gran:CD14_B:ITGB2","Gran","CD14","B","ITGB2",-0.291091633854818,-0.291091633854818,NA,NA,"down"
"1060","Gran:CD14_DC:ITGB2","Gran","CD14","DC","ITGB2",-0.291091633854818,-0.291091633854818,NA,NA,"down"
"1061","Gran:CD14_Ery:ITGB2","Gran","CD14","Ery","ITGB2",-0.291091633854818,-0.291091633854818,NA,NA,"down"
"1062","Gran:CD14_Gran:ITGB2","Gran","CD14","Gran","ITGB2",-0.291091633854818,-0.291091633854818,NA,NA,"down"
"1063","Gran:CD14_HSPC:ITGB2","Gran","CD14","HSPC","ITGB2",-0.291091633854818,-0.291091633854818,NA,NA,"down"
"1064","Gran:CD14_Mono:ITGB2","Gran","CD14","Mono","ITGB2",-0.291091633854818,-0.291091633854818,NA,NA,"down"
"1065","DC:CD14_NK:ITGB2","DC","CD14","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1066","Ery:CD14_NK:ITGB2","Ery","CD14","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"up"
"1067","Gran:CD14_NK:ITGB2","Gran","CD14","NK","ITGB2",-0.291091633854818,-0.291091633854818,0.351136632092222,1.82603228085644e-30,"down"
"1068","HSPC:CD14_NK:ITGB2","HSPC","CD14","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"up"
"1069","Mono:CD14_NK:ITGB2","Mono","CD14","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1070","Gran:CD14_T:ITGB2","Gran","CD14","T","ITGB2",-0.291091633854818,-0.291091633854818,NA,NA,"down"
"1071","Gran:CD14_B:ITGB1","Gran","CD14","B","ITGB1",-0.291091633854818,-0.291091633854818,NA,NA,"down"
"1072","Gran:CD14_DC:ITGB1","Gran","CD14","DC","ITGB1",-0.291091633854818,-0.291091633854818,NA,NA,"down"
"1073","Gran:CD14_Ery:ITGB1","Gran","CD14","Ery","ITGB1",-0.291091633854818,-0.291091633854818,NA,NA,"down"
"1074","Gran:CD14_Gran:ITGB1","Gran","CD14","Gran","ITGB1",-0.291091633854818,-0.291091633854818,NA,NA,"down"
"1075","Gran:CD14_HSPC:ITGB1","Gran","CD14","HSPC","ITGB1",-0.291091633854818,-0.291091633854818,NA,NA,"down"
"1076","Gran:CD14_Mono:ITGB1","Gran","CD14","Mono","ITGB1",-0.291091633854818,-0.291091633854818,NA,NA,"down"
"1077","Gran:CD14_NK:ITGB1","Gran","CD14","NK","ITGB1",-0.291091633854818,-0.291091633854818,NA,NA,"down"
"1078","Gran:CD14_T:ITGB1","Gran","CD14","T","ITGB1",-0.291091633854818,-0.291091633854818,NA,NA,"down"
"1079","Gran:CD14_DC:TLR4","Gran","CD14","DC","TLR4",-0.291091633854818,-0.291091633854818,NA,NA,"down"
"1080","Gran:CD14_Ery:TLR4","Gran","CD14","Ery","TLR4",-0.291091633854818,-0.291091633854818,NA,NA,"down"
"1081","Gran:CD14_Gran:TLR4","Gran","CD14","Gran","TLR4",-0.291091633854818,-0.291091633854818,NA,NA,"down"
"1082","Gran:CD14_HSPC:TLR4","Gran","CD14","HSPC","TLR4",-0.291091633854818,-0.291091633854818,NA,NA,"down"
"1083","Gran:CD14_Mono:TLR4","Gran","CD14","Mono","TLR4",-0.291091633854818,-0.291091633854818,NA,NA,"down"
"1084","B:SPON2_NK:ITGB2","B","SPON2","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1085","DC:SPON2_NK:ITGB2","DC","SPON2","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1086","Gran:SPON2_NK:ITGB2","Gran","SPON2","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1087","HSPC:SPON2_NK:ITGB2","HSPC","SPON2","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1088","NK:SPON2_NK:ITGB2","NK","SPON2","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1089","T:SPON2_NK:ITGB2","T","SPON2","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1090","B:SPON2_Gran:ITGA4","B","SPON2","Gran","ITGA4",NA,NA,0.389649322335744,9.54823233491811e-49,"down"
"1091","DC:SPON2_Gran:ITGA4","DC","SPON2","Gran","ITGA4",NA,NA,0.389649322335744,9.54823233491811e-49,"down"
"1092","Gran:SPON2_Gran:ITGA4","Gran","SPON2","Gran","ITGA4",NA,NA,0.389649322335744,9.54823233491811e-49,"up"
"1093","HSPC:SPON2_Gran:ITGA4","HSPC","SPON2","Gran","ITGA4",NA,NA,0.389649322335744,9.54823233491811e-49,"down"
"1094","NK:SPON2_Gran:ITGA4","NK","SPON2","Gran","ITGA4",NA,NA,0.389649322335744,9.54823233491811e-49,"down"
"1095","T:SPON2_Gran:ITGA4","T","SPON2","Gran","ITGA4",NA,NA,0.389649322335744,9.54823233491811e-49,"down"
"1096","Gran:S100A8_B:ITGB2","Gran","S100A8","B","ITGB2",-0.574103329197293,-0.574103329197293,NA,NA,"down"
"1097","Gran:S100A8_DC:ITGB2","Gran","S100A8","DC","ITGB2",-0.574103329197293,-0.574103329197293,NA,NA,"down"
"1098","Gran:S100A8_Ery:ITGB2","Gran","S100A8","Ery","ITGB2",-0.574103329197293,-0.574103329197293,NA,NA,"down"
"1099","Gran:S100A8_Gran:ITGB2","Gran","S100A8","Gran","ITGB2",-0.574103329197293,-0.574103329197293,NA,NA,"down"
"1100","Gran:S100A8_HSPC:ITGB2","Gran","S100A8","HSPC","ITGB2",-0.574103329197293,-0.574103329197293,NA,NA,"down"
"1101","Gran:S100A8_Mono:ITGB2","Gran","S100A8","Mono","ITGB2",-0.574103329197293,-0.574103329197293,NA,NA,"down"
"1102","B:S100A8_NK:ITGB2","B","S100A8","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1103","DC:S100A8_NK:ITGB2","DC","S100A8","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1104","Ery:S100A8_NK:ITGB2","Ery","S100A8","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"up"
"1105","Gran:S100A8_NK:ITGB2","Gran","S100A8","NK","ITGB2",-0.574103329197293,-0.574103329197293,0.351136632092222,1.82603228085644e-30,"down"
"1106","HSPC:S100A8_NK:ITGB2","HSPC","S100A8","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1107","Mono:S100A8_NK:ITGB2","Mono","S100A8","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1108","NK:S100A8_NK:ITGB2","NK","S100A8","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1109","T:S100A8_NK:ITGB2","T","S100A8","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1110","Gran:S100A8_T:ITGB2","Gran","S100A8","T","ITGB2",-0.574103329197293,-0.574103329197293,NA,NA,"down"
"1111","Gran:S100A8_DC:TLR4","Gran","S100A8","DC","TLR4",-0.574103329197293,-0.574103329197293,NA,NA,"down"
"1112","Gran:S100A8_Ery:TLR4","Gran","S100A8","Ery","TLR4",-0.574103329197293,-0.574103329197293,NA,NA,"up"
"1113","Gran:S100A8_Gran:TLR4","Gran","S100A8","Gran","TLR4",-0.574103329197293,-0.574103329197293,NA,NA,"down"
"1114","Gran:S100A8_HSPC:TLR4","Gran","S100A8","HSPC","TLR4",-0.574103329197293,-0.574103329197293,NA,NA,"down"
"1115","Gran:S100A8_Mono:TLR4","Gran","S100A8","Mono","TLR4",-0.574103329197293,-0.574103329197293,NA,NA,"down"
"1116","Gran:S100A9_B:ITGB2","Gran","S100A9","B","ITGB2",-0.546733366120384,-0.546733366120384,NA,NA,"down"
"1117","Gran:S100A9_DC:ITGB2","Gran","S100A9","DC","ITGB2",-0.546733366120384,-0.546733366120384,NA,NA,"down"
"1118","Gran:S100A9_Ery:ITGB2","Gran","S100A9","Ery","ITGB2",-0.546733366120384,-0.546733366120384,NA,NA,"down"
"1119","Gran:S100A9_Gran:ITGB2","Gran","S100A9","Gran","ITGB2",-0.546733366120384,-0.546733366120384,NA,NA,"down"
"1120","Gran:S100A9_HSPC:ITGB2","Gran","S100A9","HSPC","ITGB2",-0.546733366120384,-0.546733366120384,NA,NA,"down"
"1121","Gran:S100A9_Mono:ITGB2","Gran","S100A9","Mono","ITGB2",-0.546733366120384,-0.546733366120384,NA,NA,"down"
"1122","B:S100A9_NK:ITGB2","B","S100A9","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1123","DC:S100A9_NK:ITGB2","DC","S100A9","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1124","Ery:S100A9_NK:ITGB2","Ery","S100A9","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"up"
"1125","Gran:S100A9_NK:ITGB2","Gran","S100A9","NK","ITGB2",-0.546733366120384,-0.546733366120384,0.351136632092222,1.82603228085644e-30,"down"
"1126","HSPC:S100A9_NK:ITGB2","HSPC","S100A9","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"up"
"1127","Mono:S100A9_NK:ITGB2","Mono","S100A9","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1128","NK:S100A9_NK:ITGB2","NK","S100A9","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1129","T:S100A9_NK:ITGB2","T","S100A9","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1130","Gran:S100A9_T:ITGB2","Gran","S100A9","T","ITGB2",-0.546733366120384,-0.546733366120384,NA,NA,"down"
"1131","Gran:S100A9_DC:TLR4","Gran","S100A9","DC","TLR4",-0.546733366120384,-0.546733366120384,NA,NA,"down"
"1132","Gran:S100A9_Ery:TLR4","Gran","S100A9","Ery","TLR4",-0.546733366120384,-0.546733366120384,NA,NA,"up"
"1133","Gran:S100A9_Gran:TLR4","Gran","S100A9","Gran","TLR4",-0.546733366120384,-0.546733366120384,NA,NA,"down"
"1134","Gran:S100A9_HSPC:TLR4","Gran","S100A9","HSPC","TLR4",-0.546733366120384,-0.546733366120384,NA,NA,"down"
"1135","Gran:S100A9_Mono:TLR4","Gran","S100A9","Mono","TLR4",-0.546733366120384,-0.546733366120384,NA,NA,"down"
"1136","B:FCER2_NK:ITGB2","B","FCER2","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1137","DC:FCER2_NK:ITGB2","DC","FCER2","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1138","B:ICAM2_NK:ITGB2","B","ICAM2","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1139","DC:ICAM2_NK:ITGB2","DC","ICAM2","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1140","Ery:ICAM2_NK:ITGB2","Ery","ICAM2","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1141","Gran:ICAM2_NK:ITGB2","Gran","ICAM2","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1142","HSPC:ICAM2_NK:ITGB2","HSPC","ICAM2","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1143","Mono:ICAM2_NK:ITGB2","Mono","ICAM2","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1144","NK:ICAM2_NK:ITGB2","NK","ICAM2","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1145","T:ICAM2_NK:ITGB2","T","ICAM2","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1146","B:ICAM3_NK:ITGB2","B","ICAM3","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1147","DC:ICAM3_NK:ITGB2","DC","ICAM3","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1148","Ery:ICAM3_NK:ITGB2","Ery","ICAM3","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1149","Gran:ICAM3_NK:ITGB2","Gran","ICAM3","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1150","HSPC:ICAM3_NK:ITGB2","HSPC","ICAM3","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1151","Mono:ICAM3_NK:ITGB2","Mono","ICAM3","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1152","NK:ICAM3_NK:ITGB2","NK","ICAM3","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1153","T:ICAM3_NK:ITGB2","T","ICAM3","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30,"down"
"1154","B:ICAM3_DC:ITGAL","B","ICAM3","DC","ITGAL",NA,NA,0.275678638962125,3.56221661003668e-15,"down"
"1155","DC:ICAM3_DC:ITGAL","DC","ICAM3","DC","ITGAL",NA,NA,0.275678638962125,3.56221661003668e-15,"down"
"1156","Ery:ICAM3_DC:ITGAL","Ery","ICAM3","DC","ITGAL",NA,NA,0.275678638962125,3.56221661003668e-15,"down"
"1157","Gran:ICAM3_DC:ITGAL","Gran","ICAM3","DC","ITGAL",NA,NA,0.275678638962125,3.56221661003668e-15,"down"
"1158","HSPC:ICAM3_DC:ITGAL","HSPC","ICAM3","DC","ITGAL",NA,NA,0.275678638962125,3.56221661003668e-15,"down"
"1159","Mono:ICAM3_DC:ITGAL","Mono","ICAM3","DC","ITGAL",NA,NA,0.275678638962125,3.56221661003668e-15,"down"
"1160","NK:ICAM3_DC:ITGAL","NK","ICAM3","DC","ITGAL",NA,NA,0.275678638962125,3.56221661003668e-15,"down"
"1161","T:ICAM3_DC:ITGAL","T","ICAM3","DC","ITGAL",NA,NA,0.275678638962125,3.56221661003668e-15,"down"
"1162","HSPC:LYZ_B:ITGAL","HSPC","LYZ","B","ITGAL",0.30195614265835,0.30195614265835,NA,NA,"up"
"1163","Mono:LYZ_B:ITGAL","Mono","LYZ","B","ITGAL",0.263315878316113,0.263315878316113,NA,NA,"down"
"1164","B:LYZ_DC:ITGAL","B","LYZ","DC","ITGAL",0.397682908697326,0.397682908697326,0.275678638962125,3.56221661003668e-15,"up"
"1165","DC:LYZ_DC:ITGAL","DC","LYZ","DC","ITGAL",NA,NA,0.275678638962125,3.56221661003668e-15,"down"
"1166","Ery:LYZ_DC:ITGAL","Ery","LYZ","DC","ITGAL",NA,NA,0.275678638962125,3.56221661003668e-15,"up"
"1167","Gran:LYZ_DC:ITGAL","Gran","LYZ","DC","ITGAL",NA,NA,0.275678638962125,3.56221661003668e-15,"down"
"1168","HSPC:LYZ_DC:ITGAL","HSPC","LYZ","DC","ITGAL",0.30195614265835,0.30195614265835,0.275678638962125,3.56221661003668e-15,"up"
"1169","Mono:LYZ_DC:ITGAL","Mono","LYZ","DC","ITGAL",0.263315878316113,0.263315878316113,0.275678638962125,3.56221661003668e-15,"down"
"1170","NK:LYZ_DC:ITGAL","NK","LYZ","DC","ITGAL",NA,NA,0.275678638962125,3.56221661003668e-15,"down"
"1171","T:LYZ_DC:ITGAL","T","LYZ","DC","ITGAL",0.322266380903972,0.322266380903972,0.275678638962125,3.56221661003668e-15,"up"
"1172","HSPC:LYZ_Ery:ITGAL","HSPC","LYZ","Ery","ITGAL",0.30195614265835,0.30195614265835,NA,NA,"down"
"1173","Mono:LYZ_Ery:ITGAL","Mono","LYZ","Ery","ITGAL",0.263315878316113,0.263315878316113,NA,NA,"down"
"1174","B:LYZ_Gran:ITGAL","B","LYZ","Gran","ITGAL",0.397682908697326,0.397682908697326,NA,NA,"up"
