"","X","interaction_ID","sender_celltype","sender_gene","receiver_celltype","receiver_gene","mean_case","mean_control","log2","sender_log2FC","receiver_log2FC"
"901",901,"DC:ICAM1_T:EZR","DC","ICAM1","T","EZR",0.264,0.216833333333333,0.283951373361814,NA,0.275051488891889
"902",902,"Gran:ICAM1_B:EZR","Gran","ICAM1","B","EZR",0.580571428571429,0.351833333333333,0.722581402088562,NA,0.410237390860466
"903",903,"Gran:ICAM1_T:EZR","Gran","ICAM1","T","EZR",0.330571428571429,0.192666666666667,0.778855045270363,NA,0.275051488891889
"904",904,"Mono:ICAM1_B:EZR","Mono","ICAM1","B","EZR",0.532428571428571,0.383,0.475243599746289,NA,0.410237390860466
"905",905,"Mono:ICAM1_T:EZR","Mono","ICAM1","T","EZR",0.315142857142857,0.223833333333333,0.493581064827493,NA,0.275051488891889
"906",906,"NK:ICAM1_B:EZR","NK","ICAM1","B","EZR",0.583,0.312333333333333,0.900409336262466,NA,0.410237390860466
"907",907,"NK:ICAM1_T:EZR","NK","ICAM1","T","EZR",0.335666666666667,0.168333333333333,0.995708390367628,NA,0.275051488891889
"908",908,"DC:ICAM1_Ery:SPN","DC","ICAM1","Ery","SPN",0.1252,0.358166666666667,-1.51639651466137,NA,-0.332540878578676
"909",909,"Gran:ICAM1_Ery:SPN","Gran","ICAM1","Ery","SPN",0.154333333333333,0.334,-1.11379840993497,NA,-0.332540878578676
"910",910,"Mono:ICAM1_Ery:SPN","Mono","ICAM1","Ery","SPN",0.168666666666667,0.365333333333333,-1.11503850826622,NA,-0.332540878578676
"911",911,"NK:ICAM1_Ery:SPN","NK","ICAM1","Ery","SPN",0.1802,0.272833333333333,-0.598420904826821,NA,-0.332540878578676
"912",912,"B:FYN_Ery:SPN","B","FYN","Ery","SPN",0.144833333333333,0.347,-1.26054198648502,NA,-0.332540878578676
"913",913,"DC:FYN_Ery:SPN","DC","FYN","Ery","SPN",0.1712,0.429,-1.32529494598576,NA,-0.332540878578676
"914",914,"Ery:FYN_Ery:SPN","Ery","FYN","Ery","SPN",0.122333333333333,0.277333333333333,-1.18080346529788,NA,-0.332540878578676
"915",915,"Gran:FYN_Ery:SPN","Gran","FYN","Ery","SPN",0.128833333333333,0.391,-1.60166269410366,NA,-0.332540878578676
"916",916,"HSPC:FYN_Ery:SPN","HSPC","FYN","Ery","SPN",0.161,0.357666666666667,-1.15155498192075,NA,-0.332540878578676
"917",917,"Mono:FYN_Ery:SPN","Mono","FYN","Ery","SPN",0.219,0.4385,-1.00164597284356,NA,-0.332540878578676
"918",918,"NK:FYN_Ery:SPN","NK","FYN","Ery","SPN",0.356,0.5625,-0.659975855138002,NA,-0.332540878578676
"919",919,"T:FYN_Ery:SPN","T","FYN","Ery","SPN",0.303833333333333,0.526,-0.791782643974324,NA,-0.332540878578676
"920",920,"Mono:CD9_B:IL16","Mono","CD9","B","IL16",0.127,0.0653333333333333,0.958937343378114,0.352976124957498,NA
"921",921,"Mono:CD9_DC:IL16","Mono","CD9","DC","IL16",0.119333333333333,0.092,0.375291320486087,0.352976124957498,NA
