interaction_ID,AML.0024,AML.0160,AML.0693,AML.1371,AML.2123,AML.3133,AML.4340,healthy.1,healthy.2,healthy.3,healthy.4,healthy.4003,healthy.5
Mono:IL1B_Gran:IL1RN,1,1,0,1,0,0,1,1,1,1,1,0,0
Mono:IL1B_HSPC:IL1RN,1,0,0,0,0,0,0,0,0,0,0,0,0
Mono:IL1B_Mono:IL1RN,1,1,1,1,0,1,1,1,1,1,1,0,0
Mono:IL1B_DC:IL1R2,0,0,0,0,0,0,0,1,1,1,0,0,0
Mono:IL1B_Gran:IL1R2,1,0,0,0,0,0,0,0,1,0,0,0,0
Mono:IL1B_Mono:IL1R2,1,0,0,0,0,0,0,0,0,0,0,0,0
Mono:IL1B_B:SIGIRR,1,0,0,1,0,0,1,0,0,1,0,0,0
Mono:IL1B_DC:SIGIRR,1,1,1,1,0,1,1,1,1,1,1,0,0
Mono:IL1B_Ery:SIGIRR,1,1,1,0,0,1,0,1,1,1,1,0,1
Mono:IL1B_Gran:SIGIRR,1,1,1,1,0,1,1,1,1,1,1,0,1
Mono:IL1B_HSPC:SIGIRR,1,1,1,1,0,1,1,1,1,1,1,0,1
Mono:IL1B_Mono:SIGIRR,1,1,1,1,0,1,1,1,1,1,1,0,1
Mono:IL1B_NK:SIGIRR,1,0,0,1,0,1,1,1,1,1,1,0,1
Mono:IL1B_T:SIGIRR,1,1,1,1,0,1,1,1,1,1,1,0,1
NK:TGFB1_B:ITGB1,1,0,1,1,1,0,1,1,0,1,1,1,0
NK:TGFB1_DC:ITGB1,0,0,1,1,0,1,1,1,1,1,1,1,1
NK:TGFB1_Ery:ITGB1,1,0,1,1,1,1,0,1,1,1,1,1,1
NK:TGFB1_Gran:ITGB1,1,0,1,1,1,1,1,1,1,1,1,1,1
NK:TGFB1_HSPC:ITGB1,1,0,1,1,1,1,1,1,1,1,1,1,1
NK:TGFB1_Mono:ITGB1,1,0,1,1,1,1,1,1,1,1,1,1,1
NK:TGFB1_NK:ITGB1,1,0,1,1,1,1,1,1,1,1,1,1,1
NK:TGFB1_T:ITGB1,1,0,1,1,1,1,1,1,1,1,1,1,1
T:TGFB1_B:ITGB1,1,1,1,1,1,0,1,1,0,1,1,1,0
T:TGFB1_DC:ITGB1,0,1,1,1,0,1,1,1,1,1,1,1,1
T:TGFB1_Ery:ITGB1,1,1,1,1,1,1,0,1,1,1,1,1,1
T:TGFB1_Gran:ITGB1,1,1,1,1,1,1,1,1,1,1,1,1,1
T:TGFB1_HSPC:ITGB1,1,1,1,1,1,1,1,1,1,1,1,1,1
T:TGFB1_Mono:ITGB1,1,1,1,1,1,1,1,1,1,1,1,1,1
T:TGFB1_NK:ITGB1,1,0,1,1,1,1,1,1,1,1,1,1,1
T:TGFB1_T:ITGB1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mono:FN1_T:CD44,1,0,0,0,0,1,0,0,0,0,0,0,0
DC:VEGFA_HSPC:CD44,1,0,1,0,0,0,1,1,1,1,0,0,0
DC:VEGFA_T:CD44,1,0,1,0,0,0,1,1,1,1,0,0,0
Ery:VEGFA_HSPC:CD44,1,0,1,1,1,1,0,1,0,1,1,1,1
Ery:VEGFA_T:CD44,1,0,1,1,1,1,0,1,0,1,1,1,1
Gran:VEGFA_HSPC:CD44,1,0,1,0,1,0,1,1,1,1,1,0,0
Gran:VEGFA_T:CD44,1,0,1,0,1,0,1,1,1,1,1,0,0
HSPC:VEGFA_T:CD44,0,0,1,0,0,0,0,0,0,0,0,0,0
Mono:VEGFA_HSPC:CD44,1,0,1,0,1,0,1,1,1,1,1,0,0
Mono:VEGFA_T:CD44,1,0,1,0,1,0,1,1,1,1,1,0,0
B:MIF_HSPC:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
B:MIF_T:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
DC:MIF_HSPC:CD44,1,1,1,1,0,1,1,1,1,1,1,1,1
DC:MIF_T:CD44,1,1,1,1,0,1,1,1,1,1,1,1,1
Ery:MIF_B:CD44,1,1,1,1,1,1,0,1,1,1,1,1,1
Ery:MIF_DC:CD44,1,1,1,1,0,1,0,1,1,1,1,1,1
Ery:MIF_Ery:CD44,1,1,1,1,1,1,0,1,1,1,1,1,1
Ery:MIF_Gran:CD44,1,1,1,1,1,1,0,1,1,1,1,1,1
Ery:MIF_HSPC:CD44,1,1,1,1,1,1,0,1,1,1,1,1,1
Ery:MIF_Mono:CD44,1,1,1,1,1,1,0,1,1,1,1,1,1
Ery:MIF_NK:CD44,1,0,1,1,1,1,0,1,1,1,1,1,1
Ery:MIF_T:CD44,1,1,1,1,1,1,0,1,1,1,1,1,1
Gran:MIF_HSPC:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
Gran:MIF_T:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
HSPC:MIF_HSPC:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
HSPC:MIF_T:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
Mono:MIF_HSPC:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
Mono:MIF_T:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
NK:MIF_HSPC:CD44,1,0,1,1,1,1,1,1,1,1,1,1,1
NK:MIF_T:CD44,1,0,1,1,1,1,1,1,1,1,1,1,1
T:MIF_HSPC:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
T:MIF_T:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
B:LGALS9_HSPC:CD44,1,0,0,1,0,0,1,0,0,1,0,1,0
B:LGALS9_T:CD44,1,0,0,1,0,0,1,0,0,1,0,1,0
DC:LGALS9_HSPC:CD44,1,1,1,1,0,1,1,1,1,1,1,1,1
DC:LGALS9_T:CD44,1,1,1,1,0,1,1,1,1,1,1,1,1
Ery:LGALS9_HSPC:CD44,1,1,1,1,1,1,0,1,1,1,1,1,1
Ery:LGALS9_T:CD44,1,1,1,1,1,1,0,1,1,1,1,1,1
Gran:LGALS9_HSPC:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
Gran:LGALS9_T:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
HSPC:LGALS9_HSPC:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
HSPC:LGALS9_T:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
Mono:LGALS9_HSPC:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
Mono:LGALS9_T:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
NK:LGALS9_HSPC:CD44,1,0,1,0,1,0,0,0,0,0,0,0,0
NK:LGALS9_T:CD44,1,0,1,0,1,0,0,0,0,0,0,0,0
B:ADAM10_HSPC:CD44,0,0,1,1,0,0,1,1,1,1,1,1,0
B:ADAM10_T:CD44,0,0,1,1,0,0,1,1,1,1,1,1,0
DC:ADAM10_HSPC:CD44,1,1,1,1,0,1,1,1,1,1,1,1,1
DC:ADAM10_T:CD44,1,1,1,1,0,1,1,1,1,1,1,1,1
Ery:ADAM10_HSPC:CD44,0,0,1,1,1,1,0,1,1,1,1,1,1
Ery:ADAM10_T:CD44,0,0,1,1,1,1,0,1,1,1,1,1,1
Gran:ADAM10_HSPC:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
Gran:ADAM10_T:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
HSPC:ADAM10_HSPC:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
HSPC:ADAM10_T:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
Mono:ADAM10_HSPC:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
Mono:ADAM10_T:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
NK:ADAM10_HSPC:CD44,0,0,1,1,1,0,1,0,1,1,1,1,1
NK:ADAM10_T:CD44,0,0,1,1,1,0,1,0,1,1,1,1,1
T:ADAM10_HSPC:CD44,1,0,1,1,1,0,1,0,0,1,1,1,1
T:ADAM10_T:CD44,1,0,1,1,1,0,1,0,0,1,1,1,1
Gran:LPL_HSPC:CD44,1,0,0,0,0,0,0,0,0,0,0,0,0
Gran:LPL_T:CD44,1,0,0,0,0,0,0,0,0,0,0,0,0
B:VIM_HSPC:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
B:VIM_T:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
DC:VIM_HSPC:CD44,1,1,1,1,0,1,1,1,1,1,1,1,1
DC:VIM_T:CD44,1,1,1,1,0,1,1,1,1,1,1,1,1
Gran:VIM_HSPC:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
Gran:VIM_T:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
HSPC:VIM_HSPC:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
HSPC:VIM_T:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
Mono:VIM_HSPC:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
Mono:VIM_T:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
NK:VIM_B:CD44,1,0,1,1,1,1,1,1,1,1,1,1,1
NK:VIM_DC:CD44,1,0,1,1,0,1,1,1,1,1,1,1,1
