cluster	gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
193	Gran	MDM2	8.05878192426789e-108	0.447721384481233	0.605	0.191	1.27086990945705e-103
194	Gran	FCN1	3.05646621960279e-106	-0.529143186307675	0.332	0.767	4.8200472283136e-102
195	Gran	TNFAIP3	8.7588833316861e-106	0.449686935167068	0.569	0.169	1.3812759014069e-101
196	Gran	TRIM22	4.75780202978111e-105	0.388084187603836	0.629	0.2	7.5030538009648e-101
197	Gran	KDM5B	1.39511371104448e-102	0.370643716888749	0.525	0.121	2.20009432231715e-98
198	Gran	PLIN2	3.53911184332971e-102	0.428743273267668	0.619	0.232	5.58117937693096e-98
199	Gran	RETN	9.88111411093465e-102	-0.464604501694654	0.394	0.725	1.55825169529439e-97
200	Gran	IRF2BP2	1.99780352123185e-101	0.311375182387559	0.908	0.652	3.15053615298262e-97
201	Gran	NFKBIA	1.13357673900484e-100	0.359509778080984	0.838	0.583	1.78765051741063e-96
202	Gran	PVT1	2.61354392554684e-99	0.36876710202341	0.472	0.087	4.12155877058737e-95
203	Gran	MIR222HG	2.51788677603532e-98	0.374169170843463	0.572	0.167	3.9707074458077e-94
204	Gran	CA2	1.25577362188494e-96	0.3994492395535	0.457	0.095	1.98035500171254e-92
205	Gran	TRIB1	2.87145450013173e-94	0.389370388410604	0.706	0.306	4.52828374670773e-90
206	Gran	DEK	1.63353628960762e-92	-0.255558387939537	0.75	0.867	2.57608672871121e-88
207	Gran	AP2S1	9.55940441702487e-92	-0.254839016965336	0.683	0.849	1.50751807656482e-87
208	Gran	HOXA9	4.3155602926275e-90	0.278010170127092	0.333	0.026	6.80563858147357e-86
209	Gran	PPP1R27	1.5325008140718e-89	0.345534217448846	0.321	0.021	2.41675378379123e-85
210	Gran	ARMH1	3.45120957161807e-87	0.351118713002479	0.725	0.393	5.4425574944417e-83
211	Gran	HLA-DRA	2.88756593401221e-86	-0.447825012493197	0.484	0.932	4.55369147793726e-82
212	Gran	CES1	2.43005375300718e-85	-0.3831910107389	0.135	0.51	3.83219476849232e-81
213	Gran	FUT4	7.63790934237408e-85	0.313430284659739	0.502	0.126	1.20449830329239e-80
214	Gran	TRPM4	2.70906730308159e-83	0.250930242594096	0.302	0.018	4.27219913695967e-79
215	Gran	ARL4A	2.00371080585516e-80	0.397751146457083	0.702	0.446	3.15985194083359e-76
216	Gran	RPS27L	2.49963307081393e-80	0.313527614032485	0.796	0.511	3.94192135267356e-76
217	Gran	CACNA2D4	2.67793036246348e-80	0.286632437825492	0.386	0.068	4.2230961816049e-76
218	Gran	XAF1	1.11483215908989e-78	0.311186031041463	0.503	0.14	1.75809031488476e-74
219	Gran	AHR	1.85003557113747e-78	0.34629283838329	0.703	0.371	2.91750609568378e-74
220	Gran	ZFR	9.19730911552091e-78	0.357294678798765	0.614	0.298	1.45041564751765e-73
221	Gran	FLT3	9.23974154583856e-78	0.299532316999775	0.486	0.134	1.45710724177874e-73
222	Gran	CCL5	2.41277880030396e-77	0.283557408090166	0.356	0.057	3.80495216807934e-73
223	Gran	PTGER4	1.53632206524822e-76	0.363490986013463	0.478	0.148	2.42277989689644e-72
224	Gran	S100A8	1.06005924287831e-75	-0.386327559613375	0.64	0.96	1.67171342601909e-71
225	Gran	IFI44	3.5023534266614e-75	0.263121752975048	0.385	0.072	5.52321135384503e-71
226	Gran	LAMP5	3.26091520411594e-74	0.301660505122932	0.384	0.08	5.14246327689084e-70
227	Gran	TYMP	1.92744123556587e-72	0.281007643771542	0.819	0.612	3.03957482848738e-68
228	Gran	CTNNB1	5.2033897440664e-72	0.315919569406452	0.791	0.456	8.20574562639271e-68
229	Gran	IER5	1.135991117808e-71	0.326655803857063	0.639	0.293	1.79145799278321e-67
230	Gran	DDIT3	2.19189862723546e-71	0.327410623255145	0.618	0.254	3.45662413515032e-67
