id_gene,ensembl,gene_name,hgnc_symbol,protein_id
1089,ENSG00000275463,LILRB2,LILRB2,1016
1090,ENSG00000278279,LILRB4,LILRB4,1035
1091,ENSG00000276042,LILRB4,LILRB4,1035
1092,ENSG00000186818,LILRB4,LILRB4,1035
1093,ENSG00000275730,LILRB4,LILRB4,1035
1094,ENSG00000278555,LILRB4,LILRB4,1035
1095,ENSG00000107798,LIPA,LIPA,644
1096,ENSG00000123384,LRP1,LRP1,843
1097,ENSG00000134569,LRP4,LRP4,100
1098,ENSG00000162337,LRP5,LRP5,102
1099,ENSG00000281324,LRP6,LRP6,108
1100,ENSG00000070018,LRP6,LRP6,108
1101,ENSG00000157193,LRP8,LRP8,886
1102,ENSG00000163956,LRPAP1,LRPAP1,567
1103,ENSG00000105699,LSR,LSR,1000
1104,ENSG00000226979,LTA,LTA,181
1105,ENSG00000230279,LTA,LTA,181
1106,ENSG00000223919,LTA,LTA,181
1107,ENSG00000226275,LTA,LTA,181
1108,ENSG00000238130,LTA,LTA,181
1109,ENSG00000173503,LTA,LTA,181
1110,ENSG00000231408,LTA,LTA,181
1111,ENSG00000111144,LTA4H,LTA4H,315
1112,ENSG00000223448,LTB,LTB,837
1113,ENSG00000238114,LTB,LTB,837
1114,ENSG00000204487,LTB,LTB,837
1115,ENSG00000206437,LTB,LTB,837
1116,ENSG00000236925,LTB,LTB,837
1117,ENSG00000236237,LTB,LTB,837
1118,ENSG00000227507,LTB,LTB,837
1119,ENSG00000231314,LTB,LTB,837
1120,ENSG00000213903,LTB4R,LTB4R,917
1121,ENSG00000285456,LTB4R,LTB4R,917
1122,ENSG00000285203,LTB4R2,LTB4R2,1189
1123,ENSG00000213906,LTB4R2,LTB4R2,1189
1124,ENSG00000111321,LTBR,LTBR,636
1125,ENSG00000213316,LTC4S,LTC4S,939
1126,ENSG00000283887,LTC4S,LTC4S,939
1127,ENSG00000099866,MADCAM1,MADCAM1,869
1128,ENSG00000019169,MARCO,MARCO,1237
1129,ENSG00000258839,MC1R,MC1R,813
1130,ENSG00000185231,MC2R,MC2R,812
1131,ENSG00000124089,MC3R,MC3R,666
1132,ENSG00000166603,MC4R,MC4R,591
1133,ENSG00000176136,MC5R,MC5R,602
1134,ENSG00000128285,MCHR1,MCHR1,1116
1135,ENSG00000152034,MCHR2,MCHR2,1076
1136,ENSG00000110492,MDK,MDK,477
1137,ENSG00000153208,MERTK,MERTK,852
1138,ENSG00000105976,MET,MET,290
1139,ENSG00000235233,MICA,MICA,942
1140,ENSG00000231225,MICA,MICA,942
1141,ENSG00000204520,MICA,MICA,942
1142,ENSG00000183214,MICA,MICA,942
1143,ENSG00000233051,MICA,MICA,942
1144,ENSG00000234218,MICB,MICB,941
1145,ENSG00000231372,MICB,MICB,941
1146,ENSG00000231179,MICB,MICB,941
1147,ENSG00000224378,MICB,MICB,941
1148,ENSG00000238289,MICB,MICB,941
1149,ENSG00000204516,MICB,MICB,941
1150,ENSG00000206449,MICB,MICB,941
1151,ENSG00000227772,MICB,MICB,941
1152,ENSG00000276701,MIF,MIF,381
1153,ENSG00000240972,MIF,MIF,381
1154,ENSG00000096395,MLN,MLN,362
1155,ENSG00000102539,MLNR,MLNR,70
1156,ENSG00000087245,MMP2,MMP2,285
1157,ENSG00000117400,MPL,MPL,653
1158,ENSG00000260314,MRC1,MRC1,494
1159,ENSG00000011028,MRC2,MRC2,1227
1160,ENSG00000170255,MRGPRX1,MRGPRX1,1087
1161,ENSG00000183695,MRGPRX2,MRGPRX2,1086
1162,ENSG00000110079,MS4A4A,MS4A4A,1085
1163,ENSG00000173531,MST1,MST1,529
1164,ENSG00000164078,MST1R,MST1R,832
1165,ENSG00000138379,MSTN,MSTN,46
1166,to_be_reviewed,MT-RNR2,MT-RNR2,1009
1167,ENSG00000168412,MTNR1A,MTNR1A,703
1168,ENSG00000134640,MTNR1B,MTNR1B,717
1169,ENSG00000030304,MUSK,MUSK,57
1170,ENSG00000105835,NAMPT,NAMPT,681
1171,ENSG00000149294,NCAM1,NCAM1,369
1172,ENSG00000223833,NCR3,NCR3,51
1173,ENSG00000236979,NCR3,NCR3,51
1174,ENSG00000236315,NCR3,NCR3,51
1175,ENSG00000206430,NCR3,NCR3,51
1176,ENSG00000204475,NCR3,NCR3,51
1177,ENSG00000225211,NCR3,NCR3,51
1178,ENSG00000237808,NCR3,NCR3,51
1179,ENSG00000237103,NCR3,NCR3,51
1180,ENSG00000188211,NCR3LG1,NCR3LG1,960
1181,ENSG00000124479,NDP,NDP,807
1182,ENSG00000110400,NECTIN1,NECTIN1,909
1183,ENSG00000130202,NECTIN2,NECTIN2,1059
1184,ENSG00000177707,NECTIN3,NECTIN3,1194
1185,ENSG00000143217,NECTIN4,NECTIN4,1092
1186,ENSG00000184613,NELL2,NELL2,1109
1187,ENSG00000171208,NETO2,NETO2,1023
1188,ENSG00000134259,NGF,NGF,156
1189,ENSG00000064300,NGFR,NGFR,280
1190,ENSG00000197696,NMB,NMB,302
1191,ENSG00000135577,NMBR,NMBR,542
1192,ENSG00000204640,NMS,NMS,951
