"","interaction_ID","sender_celltype","sender_gene","receiver_celltype","receiver_gene","ligand_log2FC","ligand_p_val_adj","receptor_log2FC","receptor_p_val_adj","mean_weigth_case","mean_weight_control","log2FC_weights","direction"
"601","DC:VCAN_T:TLR6","DC","VCAN","T","TLR6",-0.251523844617799,2.49127243760142e-40,NA,NA,0.326166666666667,NA,NA,NA
"611","Ery:MIF_DC:CD44","Ery","MIF","DC","CD44",-0.25216416428625,0.0399024874100407,NA,NA,0.641714285714286,NA,NA,NA
"621","Ery:MIF_Ery:CD44","Ery","MIF","Ery","CD44",-0.25216416428625,0.0399024874100407,NA,NA,0.59,NA,NA,NA
"631","Ery:MIF_HSPC:CD44","Ery","MIF","HSPC","CD44",-0.25216416428625,0.0399024874100407,NA,NA,0.53,NA,NA,NA
"641","Ery:MIF_Mono:CD44","Ery","MIF","Mono","CD44",-0.25216416428625,0.0399024874100407,NA,NA,0.813,NA,NA,NA
"651","Ery:MIF_T:CD44","Ery","MIF","T","CD44",-0.25216416428625,0.0399024874100407,NA,NA,0.605142857142857,NA,NA,NA
"661","HSPC:SRGN_DC:CD44","HSPC","SRGN","DC","CD44",-0.342223592241222,7.24611880007544e-155,NA,NA,0.963,NA,NA,NA
"671","HSPC:SRGN_Ery:CD44","HSPC","SRGN","Ery","CD44",-0.342223592241222,7.24611880007544e-155,NA,NA,0.866375,NA,NA,NA
"681","HSPC:SRGN_HSPC:CD44","HSPC","SRGN","HSPC","CD44",-0.342223592241222,7.24611880007544e-155,NA,NA,0.855333333333333,NA,NA,NA
"691","HSPC:SRGN_Mono:CD44","HSPC","SRGN","Mono","CD44",-0.342223592241222,7.24611880007544e-155,NA,NA,1.147375,NA,NA,NA
"701","HSPC:SRGN_T:CD44","HSPC","SRGN","T","CD44",-0.342223592241222,7.24611880007544e-155,NA,NA,0.92325,NA,NA,NA
"711","DC:VCAN_DC:CD44","DC","VCAN","DC","CD44",-0.251523844617799,2.49127243760142e-40,NA,NA,0.634857142857143,NA,NA,NA
"721","DC:VCAN_Ery:CD44","DC","VCAN","Ery","CD44",-0.251523844617799,2.49127243760142e-40,NA,NA,0.646333333333333,NA,NA,NA
"731","DC:VCAN_HSPC:CD44","DC","VCAN","HSPC","CD44",-0.251523844617799,2.49127243760142e-40,NA,NA,0.552285714285714,NA,NA,NA
"741","DC:VCAN_Mono:CD44","DC","VCAN","Mono","CD44",-0.251523844617799,2.49127243760142e-40,NA,NA,0.833428571428571,NA,NA,NA
"751","DC:VCAN_T:CD44","DC","VCAN","T","CD44",-0.251523844617799,2.49127243760142e-40,NA,NA,0.603833333333333,NA,NA,NA
"761","DC:VCAN_DC:ITGA4","DC","VCAN","DC","ITGA4",-0.251523844617799,2.49127243760142e-40,NA,NA,0.619428571428571,NA,NA,NA
"771","DC:VCAN_Ery:ITGA4","DC","VCAN","Ery","ITGA4",-0.251523844617799,2.49127243760142e-40,NA,NA,0.506666666666667,NA,NA,NA
"781","DC:VCAN_HSPC:ITGA4","DC","VCAN","HSPC","ITGA4",-0.251523844617799,2.49127243760142e-40,NA,NA,0.656,NA,NA,NA
"791","DC:VCAN_Mono:ITGA4","DC","VCAN","Mono","ITGA4",-0.251523844617799,2.49127243760142e-40,NA,NA,0.384,NA,NA,NA
"801","DC:VCAN_T:ITGA4","DC","VCAN","T","ITGA4",-0.251523844617799,2.49127243760142e-40,NA,NA,0.3695,NA,NA,NA
"811","DC:CALM1_DC:SELL","DC","CALM1","DC","SELL",NA,NA,-0.331684708405509,0,0.501,NA,NA,NA
"821","DC:CALM1_HSPC:SELL","DC","CALM1","HSPC","SELL",NA,NA,-0.306021151163924,0,0.557625,NA,NA,NA
"831","Ery:CALM1_DC:SELL","Ery","CALM1","DC","SELL",NA,NA,-0.331684708405509,0,0.427714285714286,NA,NA,NA
"841","Ery:CALM1_HSPC:SELL","Ery","CALM1","HSPC","SELL",NA,NA,-0.306021151163924,0,0.499625,NA,NA,NA
"851","HSPC:CALM1_DC:SELL","HSPC","CALM1","DC","SELL",NA,NA,-0.331684708405509,0,0.353875,NA,NA,NA
"861","HSPC:CALM1_HSPC:SELL","HSPC","CALM1","HSPC","SELL",NA,NA,-0.306021151163924,0,0.430111111111111,NA,NA,NA
"871","Mono:CALM1_DC:SELL","Mono","CALM1","DC","SELL",NA,NA,-0.331684708405509,0,0.397,NA,NA,NA
"881","Mono:CALM1_HSPC:SELL","Mono","CALM1","HSPC","SELL",NA,NA,-0.306021151163924,0,0.48675,NA,NA,NA
"891","T:CALM1_DC:SELL","T","CALM1","DC","SELL",NA,NA,-0.331684708405509,0,0.485142857142857,NA,NA,NA
"901","T:CALM1_HSPC:SELL","T","CALM1","HSPC","SELL",NA,NA,-0.306021151163924,0,0.56975,NA,NA,NA
"911","DC:CALM2_DC:SELL","DC","CALM2","DC","SELL",NA,NA,-0.331684708405509,0,0.7265,NA,NA,NA
"921","DC:CALM2_HSPC:SELL","DC","CALM2","HSPC","SELL",NA,NA,-0.306021151163924,0,0.7835,NA,NA,NA
"931","Ery:CALM2_DC:SELL","Ery","CALM2","DC","SELL",NA,NA,-0.331684708405509,0,0.935857142857143,NA,NA,NA
"941","Ery:CALM2_HSPC:SELL","Ery","CALM2","HSPC","SELL",NA,NA,-0.306021151163924,0,1.0335,NA,NA,NA
"951","HSPC:CALM2_DC:SELL","HSPC","CALM2","DC","SELL",NA,NA,-0.331684708405509,0,0.572625,NA,NA,NA
"961","HSPC:CALM2_HSPC:SELL","HSPC","CALM2","HSPC","SELL",NA,NA,-0.306021151163924,0,0.656777777777778,NA,NA,NA
"971","Mono:CALM2_DC:SELL","Mono","CALM2","DC","SELL",NA,NA,-0.331684708405509,0,0.625142857142857,NA,NA,NA
"981","Mono:CALM2_HSPC:SELL","Mono","CALM2","HSPC","SELL",NA,NA,-0.306021151163924,0,0.727875,NA,NA,NA
"991","T:CALM2_DC:SELL","T","CALM2","DC","SELL",NA,NA,-0.331684708405509,0,0.337142857142857,NA,NA,NA
"1001","T:CALM2_HSPC:SELL","T","CALM2","HSPC","SELL",NA,NA,-0.306021151163924,0,0.418625,NA,NA,NA
"1011","DC:CALM3_DC:SELL","DC","CALM3","DC","SELL",NA,NA,-0.331684708405509,0,0.191125,NA,NA,NA
"1021","DC:CALM3_HSPC:SELL","DC","CALM3","HSPC","SELL",NA,NA,-0.306021151163924,0,0.247625,NA,NA,NA
"1031","Ery:CALM3_DC:SELL","Ery","CALM3","DC","SELL",NA,NA,-0.331684708405509,0,0.668142857142857,NA,NA,NA
"1041","Ery:CALM3_HSPC:SELL","Ery","CALM3","HSPC","SELL",NA,NA,-0.306021151163924,0,0.775125,NA,NA,NA
"1051","HSPC:CALM3_DC:SELL","HSPC","CALM3","DC","SELL",NA,NA,-0.331684708405509,0,0.181875,NA,NA,NA
"1061","HSPC:CALM3_HSPC:SELL","HSPC","CALM3","HSPC","SELL",NA,NA,-0.306021151163924,0,0.258888888888889,NA,NA,NA
"1071","Mono:CALM3_DC:SELL","Mono","CALM3","DC","SELL",NA,NA,-0.331684708405509,0,0.288285714285714,NA,NA,NA
"1081","Mono:CALM3_HSPC:SELL","Mono","CALM3","HSPC","SELL",NA,NA,-0.306021151163924,0,0.38125,NA,NA,NA
"1091","T:CALM3_DC:SELL","T","CALM3","DC","SELL",NA,NA,-0.331684708405509,0,0.248857142857143,NA,NA,NA
"1101","T:CALM3_HSPC:SELL","T","CALM3","HSPC","SELL",NA,NA,-0.306021151163924,0,0.33,NA,NA,NA
"1111","DC:VCAN_DC:SELL","DC","VCAN","DC","SELL",-0.251523844617799,2.49127243760142e-40,-0.331684708405509,0,0.446428571428571,NA,NA,NA
"1121","DC:VCAN_Ery:SELL","DC","VCAN","Ery","SELL",-0.251523844617799,2.49127243760142e-40,NA,NA,0.499166666666667,NA,NA,NA
"1131","DC:VCAN_HSPC:SELL","DC","VCAN","HSPC","SELL",-0.251523844617799,2.49127243760142e-40,-0.306021151163924,0,0.509857142857143,NA,NA,NA
"1141","DC:VCAN_Mono:SELL","DC","VCAN","Mono","SELL",-0.251523844617799,2.49127243760142e-40,NA,NA,0.534714285714286,NA,NA,NA
"1151","DC:VCAN_T:SELL","DC","VCAN","T","SELL",-0.251523844617799,2.49127243760142e-40,NA,NA,0.469333333333333,NA,NA,NA
"1161","Ery:VCAN_DC:SELL","Ery","VCAN","DC","SELL",NA,NA,-0.331684708405509,0,0.151833333333333,NA,NA,NA
"1171","Ery:VCAN_HSPC:SELL","Ery","VCAN","HSPC","SELL",NA,NA,-0.306021151163924,0,0.244285714285714,NA,NA,NA
"1181","HSPC:VCAN_DC:SELL","HSPC","VCAN","DC","SELL",NA,NA,-0.331684708405509,0,0.162571428571429,NA,NA,NA
"1191","HSPC:VCAN_HSPC:SELL","HSPC","VCAN","HSPC","SELL",NA,NA,-0.306021151163924,0,0.24925,NA,NA,NA
"1201","Mono:VCAN_DC:SELL","Mono","VCAN","DC","SELL",NA,NA,-0.331684708405509,0,0.524714285714286,NA,NA,NA
"1211","Mono:VCAN_HSPC:SELL","Mono","VCAN","HSPC","SELL",NA,NA,-0.306021151163924,0,0.627,NA,NA,NA
"1221","T:VCAN_DC:SELL","T","VCAN","DC","SELL",NA,NA,-0.331684708405509,0,0.128166666666667,NA,NA,NA
"1231","T:VCAN_HSPC:SELL","T","VCAN","HSPC","SELL",NA,NA,-0.306021151163924,0,0.159285714285714,NA,NA,NA
"1241","DC:CFH_DC:SELL","DC","CFH","DC","SELL",NA,NA,-0.331684708405509,0,0.0596666666666667,NA,NA,NA
"1251","DC:CFH_HSPC:SELL","DC","CFH","HSPC","SELL",NA,NA,-0.306021151163924,0,0.097,NA,NA,NA
"1261","Ery:CFH_DC:SELL","Ery","CFH","DC","SELL",NA,NA,-0.331684708405509,0,0.13,NA,NA,NA
"1271","Ery:CFH_HSPC:SELL","Ery","CFH","HSPC","SELL",NA,NA,-0.306021151163924,0,0.221,NA,NA,NA
"1281","HSPC:CFH_DC:SELL","HSPC","CFH","DC","SELL",NA,NA,-0.331684708405509,0,0.135666666666667,NA,NA,NA
"1291","HSPC:CFH_HSPC:SELL","HSPC","CFH","HSPC","SELL",NA,NA,-0.306021151163924,0,0.222142857142857,NA,NA,NA
"1301","Mono:CFH_DC:SELL","Mono","CFH","DC","SELL",NA,NA,-0.331684708405509,0,0.114333333333333,NA,NA,NA
"1311","Mono:CFH_HSPC:SELL","Mono","CFH","HSPC","SELL",NA,NA,-0.306021151163924,0,0.146571428571429,NA,NA,NA
"1321","T:CFH_DC:SELL","T","CFH","DC","SELL",NA,NA,-0.331684708405509,0,0.122,NA,NA,NA
"1331","T:CFH_HSPC:SELL","T","CFH","HSPC","SELL",NA,NA,-0.306021151163924,0,0.207833333333333,NA,NA,NA
"1341","DC:S100A9_DC:ALCAM","DC","S100A9","DC","ALCAM",-0.29792273436797,3.54118967831359e-24,NA,NA,0.5245,NA,NA,NA
"1351","DC:S100A9_Ery:ALCAM","DC","S100A9","Ery","ALCAM",-0.29792273436797,3.54118967831359e-24,NA,NA,0.445714285714286,NA,NA,NA
"1361","DC:S100A9_HSPC:ALCAM","DC","S100A9","HSPC","ALCAM",-0.29792273436797,3.54118967831359e-24,NA,NA,0.5195,NA,NA,NA
"1371","DC:S100A9_Mono:ALCAM","DC","S100A9","Mono","ALCAM",-0.29792273436797,3.54118967831359e-24,NA,NA,0.484857142857143,NA,NA,NA
"1381","DC:S100A9_T:ALCAM","DC","S100A9","T","ALCAM",-0.29792273436797,3.54118967831359e-24,NA,NA,0.398571428571429,NA,NA,NA
"1391","DC:VCAN_DC:SELP","DC","VCAN","DC","SELP",-0.251523844617799,2.49127243760142e-40,NA,NA,0.249166666666667,NA,NA,NA
"1401","DC:VCAN_Ery:SELP","DC","VCAN","Ery","SELP",-0.251523844617799,2.49127243760142e-40,NA,NA,0.3718,NA,NA,NA
"1411","DC:VCAN_HSPC:SELP","DC","VCAN","HSPC","SELP",-0.251523844617799,2.49127243760142e-40,NA,NA,0.326166666666667,NA,NA,NA
"1421","DC:VCAN_Mono:SELP","DC","VCAN","Mono","SELP",-0.251523844617799,2.49127243760142e-40,NA,NA,0.059,NA,NA,NA
"1431","DC:VCAN_T:SELP","DC","VCAN","T","SELP",-0.251523844617799,2.49127243760142e-40,NA,NA,0.2936,NA,NA,NA
"1441","DC:S100A9_DC:AGER","DC","S100A9","DC","AGER",-0.29792273436797,3.54118967831359e-24,NA,NA,0.42075,NA,NA,NA
"1451","DC:S100A9_Ery:AGER","DC","S100A9","Ery","AGER",-0.29792273436797,3.54118967831359e-24,NA,NA,0.472428571428571,NA,NA,NA
"1461","DC:S100A9_HSPC:AGER","DC","S100A9","HSPC","AGER",-0.29792273436797,3.54118967831359e-24,NA,NA,0.419125,NA,NA,NA
"1471","DC:S100A9_Mono:AGER","DC","S100A9","Mono","AGER",-0.29792273436797,3.54118967831359e-24,NA,NA,0.475,NA,NA,NA
"1481","DC:S100A9_T:AGER","DC","S100A9","T","AGER",-0.29792273436797,3.54118967831359e-24,NA,NA,0.396285714285714,NA,NA,NA
"1491","DC:S100A8_DC:AGER","DC","S100A8","DC","AGER",-0.277329367248429,2.63262190714365e-28,NA,NA,0.328125,NA,NA,NA
"1501","DC:S100A8_Ery:AGER","DC","S100A8","Ery","AGER",-0.277329367248429,2.63262190714365e-28,NA,NA,0.377285714285714,NA,NA,NA
"1511","DC:S100A8_HSPC:AGER","DC","S100A8","HSPC","AGER",-0.277329367248429,2.63262190714365e-28,NA,NA,0.3265,NA,NA,NA
"1521","DC:S100A8_Mono:AGER","DC","S100A8","Mono","AGER",-0.277329367248429,2.63262190714365e-28,NA,NA,0.372,NA,NA,NA
"1531","DC:S100A8_T:AGER","DC","S100A8","T","AGER",-0.277329367248429,2.63262190714365e-28,NA,NA,0.295285714285714,NA,NA,NA
"1541","DC:S100A9_DC:CD36","DC","S100A9","DC","CD36",-0.29792273436797,3.54118967831359e-24,NA,NA,0.613875,NA,NA,NA
"1551","DC:S100A9_Ery:CD36","DC","S100A9","Ery","CD36",-0.29792273436797,3.54118967831359e-24,NA,NA,0.874571428571429,NA,NA,NA
"1561","DC:S100A9_HSPC:CD36","DC","S100A9","HSPC","CD36",-0.29792273436797,3.54118967831359e-24,NA,NA,0.535625,NA,NA,NA
