Gene;OverallAverageExpression;case_avg;control_avg
AL139424.3;0,003100798161665699;2,87368766324707e-03;3,29141498777729e-03
PGD;0,374363511840532959;4,28865715967896e-01;3,28619095623833e-01
CENPS;0,023717563460193727;2,31347170242236e-02;2,42067541339348e-02
CORT;0,002132821654548042;2,38684495228363e-03;1,91961656226955e-03
DFFA;0,087447261535914242;8,25189314368612e-02;9,15836737583915e-02
PEX14;0,030246596483435688;4,04947315378006e-02;2,16452020466836e-02
CASZ1;0,036124522112955283;5,04507762529141e-02;2,41003087311798e-02
TARDBP;0,239272129120370824;2,83233535526789e-01;2,02374742962788e-01
AL109811.2;0,048869557855551075;5,18687628600548e-02;4,63522856783632e-02
SRM;0,219843634478097266;1,98865062571358e-01;2,37451225589298e-01
EXOSC10;0,113906653933867952;1,32193303174234e-01;9,85584288950179e-02
AL109811.1;0,002045097312648465;1,95653818110092e-03;2,11942615564046e-03
EXOSC10-AS1;0,001839672355280764;2,45728767040683e-03;1,32129970431579e-03
MTOR;0,059578953035915490;6,02601248515100e-02;5,90072365788191e-02
UBIAD1;0,043418926142234970;4,56695356920691e-02;4,15299599685311e-02
FBXO2;0,010868051656885381;8,56088035702647e-03;1,28044908507451e-02
FBXO44;0,031981405176099237;3,49027386251248e-02;2,95294916188473e-02
FBXO6;0,073080931756133477;1,02544580485459e-01;4,83517041530203e-02
MAD2L2;0,130731227213168766;1,39352370829626e-01;1,23495388072910e-01
DRAXIN;0,006229152900956113;6,18954380620527e-03;6,26239733474112e-03
AGTRAP;0,446725908372227365;4,42096875909293e-01;4,50611116155205e-01
MTHFR;0,112661181167417801;9,58982620802430e-02;1,26730519463144e-01
CLCN6;0,042300617395853002;4,41114627991687e-02;4,07807510499012e-02
AL021155.5;0,211566385074521579;1,64935667417600e-01;2,50704159245947e-01
KIAA2013;0,116358897149107438;1,29571216538760e-01;1,05269623843098e-01
PLOD1;0,052745088105860122;6,38383054185148e-02;4,34344050232724e-02
MFN2;0,055300783568218756;6,10816864232966e-02;5,04487958267133e-02
MIIP;0,128032876854298400;1,53122748223391e-01;1,06974618071788e-01
TNFRSF8;0,010460399175042006;2,43578075993274e-03;1,71955668740060e-02
TNFRSF1B;0,533993630117789886;4,95788646355389e-01;5,66059575096740e-01
VPS13D;0,100226149892733735;1,16331646186299e-01;8,67085951878316e-02
DHRS3;0,070670875439337172;7,51471909423937e-02;6,69138450078600e-02
PRDM2;0,450391177779104368;4,94772783566336e-01;4,13141112758754e-01
KAZN;0,002043003621079384;2,80461669766618e-03;1,40377175643675e-03
TMEM51;0,006836200339769186;8,54266368595376e-03;5,40394322620377e-03
AL031283.1;0,003613911498557209;3,98367816002180e-03;3,30356147994936e-03
EFHD2;0,892649011191205655;9,53915489849073e-01;8,41227250461899e-01
CASP9;0,035800187074514024;3,89339670070398e-02;3,31699643915926e-02
DNAJC16;0,045010556037410256;4,01776937405457e-02;4,90668408788297e-02
AGMAT;0,009122270322529314;6,00560963924740e-03;1,17381245945714e-02
DDI2;0,095461022045012986;1,02610565219432e-01;8,94603164961947e-02
PLEKHM2;0,168882261562067482;2,05468874864450e-01;1,38174636179567e-01
SLC25A34;0,004581521268869056;4,57139036533002e-03;4,59002426935429e-03
FBLIM1;0,006244709638498326;6,76121077182947e-03;5,81120344920212e-03
UQCRHL;0,023177191543658118;1,57650998468069e-02;2,93982575178851e-02
AL450998.2;0,065932773829555785;6,32069853943858e-02;6,82205638867377e-02
SPEN;0,330389341497285272;3,71663523221421e-01;2,95747378332264e-01
ZBTB17;0,041461543697260142;5,21186118453621e-02;3,25169263405511e-02
EPHA2;0,001177000816144361;5,83169618933426e-04;1,67541114436153e-03
