"","interaction_ID","sender_celltype","sender_gene","receiver_celltype","receiver_gene","ligand_log2FC","ligand_p_val_adj","receptor_log2FC","receptor_p_val_adj"
"6620","T:UBA52_T:TGFBR1","T","UBA52","T","TGFBR1",NA,NA,NA,NA
"6621","T:UBB_T:RIPK1","T","UBB","T","RIPK1",NA,NA,NA,NA
"6622","T:UBB_T:SMAD3","T","UBB","T","SMAD3",NA,NA,NA,NA
"6623","T:UBB_T:TGFBR1","T","UBB","T","TGFBR1",NA,NA,NA,NA
"6624","T:UBC_T:RIPK1","T","UBC","T","RIPK1",NA,NA,NA,NA
"6625","T:UBC_T:SMAD3","T","UBC","T","SMAD3",NA,NA,NA,NA
"6626","T:UBC_T:TGFBR1","T","UBC","T","TGFBR1",NA,NA,NA,NA
"6627","NK:CD320_T:TMEM167A","NK","CD320","T","TMEM167A",NA,NA,NA,NA
"6628","NK:CD8B_T:LCK","NK","CD8B","T","LCK",NA,NA,NA,NA
"6629","NK:CLEC2D_T:KLRB1","NK","CLEC2D","T","KLRB1",NA,NA,NA,NA
"6630","NK:GZMB_T:IGF2R","NK","GZMB","T","IGF2R",NA,NA,NA,NA
"6631","NK:LMAN1_T:MCFD2","NK","LMAN1","T","MCFD2",NA,NA,NA,NA
"6632","NK:NUCB2_T:ERAP1","NK","NUCB2","T","ERAP1",NA,NA,NA,NA
"6633","NK:RPS27A_T:RIPK1","NK","RPS27A","T","RIPK1",NA,NA,NA,NA
"6634","NK:RPS27A_T:SMAD3","NK","RPS27A","T","SMAD3",NA,NA,NA,NA
"6635","NK:RPS27A_T:TGFBR1","NK","RPS27A","T","TGFBR1",NA,NA,NA,NA
"6636","NK:TGFBR1_T:TGFBR2","NK","TGFBR1","T","TGFBR2",NA,NA,NA,NA
"6637","NK:TGOLN2_T:BTN3A1","NK","TGOLN2","T","BTN3A1",NA,NA,NA,NA
"6638","NK:TOR2A_T:ATP5F1B","NK","TOR2A","T","ATP5F1B",NA,NA,NA,NA
"6639","NK:TXLNA_T:STX4","NK","TXLNA","T","STX4",NA,NA,NA,NA
"6640","NK:UBA52_T:RIPK1","NK","UBA52","T","RIPK1",NA,NA,NA,NA
"6641","NK:UBA52_T:SMAD3","NK","UBA52","T","SMAD3",NA,NA,NA,NA
"6642","NK:UBA52_T:TGFBR1","NK","UBA52","T","TGFBR1",NA,NA,NA,NA
"6643","NK:UBB_T:RIPK1","NK","UBB","T","RIPK1",NA,NA,NA,NA
"6644","NK:UBB_T:SMAD3","NK","UBB","T","SMAD3",NA,NA,NA,NA
"6645","NK:UBB_T:TGFBR1","NK","UBB","T","TGFBR1",NA,NA,NA,NA
"6646","NK:UBC_T:RIPK1","NK","UBC","T","RIPK1",NA,NA,NA,NA
"6647","NK:UBC_T:SMAD3","NK","UBC","T","SMAD3",NA,NA,NA,NA
"6648","NK:UBC_T:TGFBR1","NK","UBC","T","TGFBR1",NA,NA,NA,NA
"6649","DC:CD86_T:CD28","DC","CD86","T","CD28",NA,NA,NA,NA
"6650","DC:CLEC2D_T:KLRB1","DC","CLEC2D","T","KLRB1",NA,NA,NA,NA
"6651","DC:LILRB4_T:LAIR1","DC","LILRB4","T","LAIR1",NA,NA,NA,NA
"6652","DC:LMAN1_T:MCFD2","DC","LMAN1","T","MCFD2",NA,NA,NA,NA
"6653","DC:NUCB2_T:ERAP1","DC","NUCB2","T","ERAP1",NA,NA,NA,NA
"6654","DC:RPS27A_T:RIPK1","DC","RPS27A","T","RIPK1",NA,NA,NA,NA
"6655","DC:RPS27A_T:SMAD3","DC","RPS27A","T","SMAD3",NA,NA,NA,NA
"6656","DC:RPS27A_T:TGFBR1","DC","RPS27A","T","TGFBR1",NA,NA,NA,NA
"6657","DC:SIRPA_T:TIGIT","DC","SIRPA","T","TIGIT",NA,NA,NA,NA
"6658","DC:ST14_T:BTN3A1","DC","ST14","T","BTN3A1",NA,NA,NA,NA
"6659","DC:TGOLN2_T:BTN3A1","DC","TGOLN2","T","BTN3A1",NA,NA,NA,NA
"6660","DC:TNFSF10_T:RIPK1","DC","TNFSF10","T","RIPK1",NA,NA,NA,NA
"6661","DC:UBA52_T:RIPK1","DC","UBA52","T","RIPK1",NA,NA,NA,NA
"6662","DC:UBA52_T:SMAD3","DC","UBA52","T","SMAD3",NA,NA,NA,NA
"6663","DC:UBA52_T:TGFBR1","DC","UBA52","T","TGFBR1",NA,NA,NA,NA
"6664","DC:UBB_T:RIPK1","DC","UBB","T","RIPK1",NA,NA,NA,NA
"6665","DC:UBB_T:SMAD3","DC","UBB","T","SMAD3",NA,NA,NA,NA
"6666","DC:UBB_T:TGFBR1","DC","UBB","T","TGFBR1",NA,NA,NA,NA
"6667","DC:UBC_T:RIPK1","DC","UBC","T","RIPK1",NA,NA,NA,NA
"6668","DC:UBC_T:SMAD3","DC","UBC","T","SMAD3",NA,NA,NA,NA
"6669","DC:UBC_T:TGFBR1","DC","UBC","T","TGFBR1",NA,NA,NA,NA
"6670","Gran:CD86_T:CD28","Gran","CD86","T","CD28",NA,NA,NA,NA
"6671","Gran:LILRB4_T:LAIR1","Gran","LILRB4","T","LAIR1",NA,NA,NA,NA
"6672","Gran:LMAN1_T:MCFD2","Gran","LMAN1","T","MCFD2",NA,NA,NA,NA
"6673","Gran:NUCB2_T:ERAP1","Gran","NUCB2","T","ERAP1",NA,NA,NA,NA
"6674","Gran:RPS27A_T:RIPK1","Gran","RPS27A","T","RIPK1",NA,NA,NA,NA
"6675","Gran:RPS27A_T:SMAD3","Gran","RPS27A","T","SMAD3",NA,NA,NA,NA
"6676","Gran:RPS27A_T:TGFBR1","Gran","RPS27A","T","TGFBR1",NA,NA,NA,NA
"6677","Gran:TGFBR1_T:TGFBR2","Gran","TGFBR1","T","TGFBR2",NA,NA,NA,NA
"6678","Gran:TGOLN2_T:BTN3A1","Gran","TGOLN2","T","BTN3A1",NA,NA,NA,NA
"6679","Gran:TNFSF10_T:RIPK1","Gran","TNFSF10","T","RIPK1",NA,NA,NA,NA
"6680","Gran:TXLNA_T:STX4","Gran","TXLNA","T","STX4",NA,NA,NA,NA
"6681","Gran:UBA52_T:RIPK1","Gran","UBA52","T","RIPK1",NA,NA,NA,NA
"6682","Gran:UBA52_T:SMAD3","Gran","UBA52","T","SMAD3",NA,NA,NA,NA
"6683","Gran:UBA52_T:TGFBR1","Gran","UBA52","T","TGFBR1",NA,NA,NA,NA
"6684","Gran:UBB_T:RIPK1","Gran","UBB","T","RIPK1",NA,NA,NA,NA
"6685","Gran:UBB_T:SMAD3","Gran","UBB","T","SMAD3",NA,NA,NA,NA
"6686","Gran:UBB_T:TGFBR1","Gran","UBB","T","TGFBR1",NA,NA,NA,NA
"6687","Gran:UBC_T:RIPK1","Gran","UBC","T","RIPK1",NA,NA,NA,NA
"6688","Gran:UBC_T:SMAD3","Gran","UBC","T","SMAD3",NA,NA,NA,NA
"6689","Gran:UBC_T:TGFBR1","Gran","UBC","T","TGFBR1",NA,NA,NA,NA
"6690","B:CASP8_T:FAS","B","CASP8","T","FAS",NA,NA,NA,NA
"6691","B:CD320_T:TMEM167A","B","CD320","T","TMEM167A",NA,NA,NA,NA
"6692","B:CD86_T:CD28","B","CD86","T","CD28",NA,NA,NA,NA
"6693","B:FYN_T:SPN","B","FYN","T","SPN",NA,NA,NA,NA
"6694","B:ICOSLG_T:CD28","B","ICOSLG","T","CD28",NA,NA,NA,NA
"6695","B:LMAN1_T:MCFD2","B","LMAN1","T","MCFD2",NA,NA,NA,NA
"6696","B:MTMR4_T:SMAD3","B","MTMR4","T","SMAD3",NA,NA,NA,NA
"6697","B:RPS27A_T:RIPK1","B","RPS27A","T","RIPK1",NA,NA,NA,NA
"6698","B:RPS27A_T:SMAD3","B","RPS27A","T","SMAD3",NA,NA,NA,NA
"6699","B:RPS27A_T:TGFBR1","B","RPS27A","T","TGFBR1",NA,NA,NA,NA
"6700","B:TGOLN2_T:BTN3A1","B","TGOLN2","T","BTN3A1",NA,NA,NA,NA
"6701","B:TXLNA_T:STX4","B","TXLNA","T","STX4",NA,NA,NA,NA
"6702","B:UBA52_T:RIPK1","B","UBA52","T","RIPK1",NA,NA,NA,NA
"6703","B:UBA52_T:SMAD3","B","UBA52","T","SMAD3",NA,NA,NA,NA
"6704","B:UBA52_T:TGFBR1","B","UBA52","T","TGFBR1",NA,NA,NA,NA
"6705","B:UBB_T:RIPK1","B","UBB","T","RIPK1",NA,NA,NA,NA
"6706","B:UBB_T:SMAD3","B","UBB","T","SMAD3",NA,NA,NA,NA
"6707","B:UBB_T:TGFBR1","B","UBB","T","TGFBR1",NA,NA,NA,NA
"6708","B:UBC_T:RIPK1","B","UBC","T","RIPK1",NA,NA,NA,NA
"6709","B:UBC_T:SMAD3","B","UBC","T","SMAD3",NA,NA,NA,NA
"6710","B:UBC_T:TGFBR1","B","UBC","T","TGFBR1",NA,NA,NA,NA
"6711","Ery:CASP8_T:FAS","Ery","CASP8","T","FAS",NA,NA,NA,NA
"6712","Ery:CD69_T:KLRB1","Ery","CD69","T","KLRB1",NA,NA,NA,NA
"6713","Ery:CLEC2D_T:KLRB1","Ery","CLEC2D","T","KLRB1",NA,NA,NA,NA
"6714","Ery:FYN_T:SPN","Ery","FYN","T","SPN",NA,NA,NA,NA
"6715","Ery:MICB_T:HCST","Ery","MICB","T","HCST",NA,NA,NA,NA
"6716","Ery:MICB_T:KLRK1","Ery","MICB","T","KLRK1",NA,NA,NA,NA
"6717","Ery:MTMR4_T:SMAD3","Ery","MTMR4","T","SMAD3",NA,NA,NA,NA
"6718","Ery:NUCB2_T:ERAP1","Ery","NUCB2","T","ERAP1",-0.39501137665007,1.26413963718238e-83,NA,NA
"6719","Ery:PCSK1N_T:GPR171","Ery","PCSK1N","T","GPR171",NA,NA,NA,NA
"6720","Ery:RPS27A_T:RIPK1","Ery","RPS27A","T","RIPK1",NA,NA,NA,NA
"6721","Ery:RPS27A_T:SMAD3","Ery","RPS27A","T","SMAD3",NA,NA,NA,NA
"6722","Ery:RPS27A_T:TGFBR1","Ery","RPS27A","T","TGFBR1",NA,NA,NA,NA
"6723","Ery:TGOLN2_T:BTN3A1","Ery","TGOLN2","T","BTN3A1",NA,NA,NA,NA
"6724","Ery:TNFSF13_T:FAS","Ery","TNFSF13","T","FAS",NA,NA,NA,NA
"6725","Ery:TNFSF13_T:TNFRSF14","Ery","TNFSF13","T","TNFRSF14",NA,NA,NA,NA
"6726","Ery:TXLNA_T:STX4","Ery","TXLNA","T","STX4",NA,NA,NA,NA
"6727","Ery:UBA52_T:RIPK1","Ery","UBA52","T","RIPK1",NA,NA,NA,NA
"6728","Ery:UBA52_T:SMAD3","Ery","UBA52","T","SMAD3",NA,NA,NA,NA
"6729","Ery:UBA52_T:TGFBR1","Ery","UBA52","T","TGFBR1",NA,NA,NA,NA
"6730","Ery:UBB_T:RIPK1","Ery","UBB","T","RIPK1",NA,NA,NA,NA
"6731","Ery:UBB_T:SMAD3","Ery","UBB","T","SMAD3",NA,NA,NA,NA
"6732","Ery:UBB_T:TGFBR1","Ery","UBB","T","TGFBR1",NA,NA,NA,NA
"6733","Ery:UBC_T:RIPK1","Ery","UBC","T","RIPK1",NA,NA,NA,NA
"6734","Ery:UBC_T:SMAD3","Ery","UBC","T","SMAD3",NA,NA,NA,NA
"6735","Ery:UBC_T:TGFBR1","Ery","UBC","T","TGFBR1",NA,NA,NA,NA
"6736","HSPC:ACTR2_NK:ADRB2","HSPC","ACTR2","NK","ADRB2",NA,NA,NA,NA
"6737","HSPC:ADRB2_NK:CXCR4","HSPC","ADRB2","NK","CXCR4",NA,NA,0.477840038972092,2.59210809391002e-128
"6738","HSPC:ADRB2_NK:HNRNPK","HSPC","ADRB2","NK","HNRNPK",NA,NA,NA,NA
"6739","HSPC:ADRB2_NK:MBP","HSPC","ADRB2","NK","MBP",NA,NA,NA,NA
"6740","HSPC:ADRB2_NK:PRNP","HSPC","ADRB2","NK","PRNP",NA,NA,NA,NA
"6741","HSPC:ADRB2_NK:SLC52A2","HSPC","ADRB2","NK","SLC52A2",NA,NA,NA,NA
"6742","HSPC:ADRB2_NK:TMEM259","HSPC","ADRB2","NK","TMEM259",NA,NA,NA,NA
"6743","HSPC:ADRB2_NK:VAPA","HSPC","ADRB2","NK","VAPA",NA,NA,NA,NA
