,ID,community,CPDB,NicheNet,CellChat
16911,EDN2_KEL,True,False,False,False
16912,ENHO_GPR19,True,True,False,True
16913,PYY_APLNR,False,False,True,False
16914,APOB_ITGAM,True,False,False,False
16915,CDH2_GRIN2D,False,False,True,False
16916,CCL21_CCR8,False,False,True,False
16917,PRSS2_F2RL3,True,False,False,True
16918,PNOC_MTNR1A,True,False,True,False
16919,NRG2_EGFR,False,False,True,False
16920,PYY_TAS2R41,False,False,True,False
16921,WNT3A_FZD9,True,True,False,True
16922,CCL28_HTR5A,False,False,True,False
16923,AVP_GHSR,False,False,True,False
16924,L1CAM_FGFR1,True,False,True,False
16925,CCL28_GRM8,False,False,True,False
16926,EFNA2_EPHB4,False,False,True,False
16927,RLN3_DRD4,False,False,True,False
16928,CHRD_GDF7,True,False,False,False
16929,PTPRS_LRFN4,True,False,False,False
16930,BTNL8_LILRB1,True,False,False,False
16931,GAST_LPAR6,False,False,True,False
16932,HLA-C_CD53,True,False,False,False
16933,APLN_ADORA3,False,False,True,False
16934,HSP90AB1_ERBB2,True,False,False,False
16935,CXCL9_LPAR1,False,False,True,False
16936,EDN3_F2RL2,False,False,True,False
16937,ADM_HTR6,False,False,True,False
16938,QRFP_FFAR2,False,False,True,False
16939,NR0B2_FGFRL1,True,False,False,False
16940,GNRH1_NMUR1,False,False,True,False
16941,TCTN3_FCRL1,True,False,False,False
16942,CCL27_LPAR1,False,False,True,False
16943,CHAT_CHRNA2,False,True,False,False
16944,CCL5_HCAR2,False,False,True,False
16945,C5_SSTR2,False,False,True,False
16946,CXCL9_S1PR3,False,False,True,False
16947,ANXA1_OPRD1,False,False,True,False
16948,NRTN_GFRA3,True,False,True,False
16949,FGB_ITGA5,True,False,False,False
16950,RSPO2_RNF43,True,False,False,False
16951,C5_HCAR1,False,False,True,False
16952,AVP_NMUR1,False,False,True,False
16953,CALCB_CRHR2,False,False,True,False
16954,INSL5_TAS2R4,False,False,True,False
16955,CCL5_DRD2,False,False,True,False
16956,TNF_PIK3CB,False,False,True,False
