,ID,community,CPDB,NicheNet,CellChat,community_curated,NicheNet_curated
2409,BDNF_F11R,True,True,True,False,False,False
2410,PROK2_NPFFR1,False,False,True,False,False,False
2411,DSG1_NTRK1,False,False,True,False,False,False
2412,S100A8_TLR4,True,False,False,False,True,False
2413,CTHRC1_FZD5,True,False,False,False,True,False
2414,CCL19_CXCR1,False,False,True,False,False,False
2415,CNTN5_TMEM81,True,False,False,False,False,False
2416,TNN_SDC4,True,False,False,True,False,False
2417,WIF1_WNT2,True,True,False,False,False,False
2418,RLN3_GPER1,False,False,True,False,False,False
2419,CCL21_LPAR2,False,False,True,False,False,False
2420,CXCL3_NMUR1,False,False,True,False,False,False
2421,IL19_IL20RA_IL20RB,False,False,False,True,False,False
2422,TSHB_GIPR,False,False,True,False,False,False
2423,DSC2_DSC1,False,False,True,False,False,False
2424,WNT1_FZD9_LRP5,False,False,False,True,False,False
2425,BMP7_BMPR1B_BMPR2,False,False,False,True,False,False
2426,INSL5_SSTR5,False,False,True,False,False,False
2427,CXCL13_NPY5R,False,False,True,False,False,False
2428,CTLA4_SIGLEC10,True,False,False,False,False,False
2429,FAT1_GRID2,False,False,True,False,False,False
2430,SCT_ADRB2,True,False,True,False,True,False
2431,SOSTDC1_WNT8B,True,False,False,False,False,False
2432,SST_MTNR1B,False,False,True,False,False,False
2433,PNOC_GRM3,False,False,True,False,False,False
2434,TNF_LTBR,True,False,True,False,False,True
2435,CDH2_NTRK1,False,False,True,False,False,False
2436,CXCL2_C5AR1,False,False,True,False,False,False
2437,LAMB3_SV2B,True,False,False,True,False,False
2438,AGRP_POMC,True,False,False,False,False,False
2439,PYY_BDKRB2,False,False,True,False,False,False
2440,GCG_CHRM5,False,False,True,False,False,False
2441,SCT_RAMP1,False,False,True,False,False,False
2442,CSF1_SLC7A1,True,True,False,False,False,False
2443,CNTN2_CNTNAP2,True,False,True,False,False,True
2444,CCL20_GPR17,False,False,True,False,False,False
2445,NMS_FPR2,False,False,True,False,False,False
2446,EDN1_UTS2R,False,False,True,False,False,False
2447,ITGB1_DAG1,False,False,True,False,False,False
2448,KCNA1_RTN4,True,False,False,False,False,False
2449,CXCL11_HCAR3,False,False,True,False,False,False
2450,GZMB_NOTCH1,False,False,True,False,False,False
2451,CALCA_DRD1,False,False,True,False,False,False
2452,SEMA6C_PLXNA1,True,False,False,False,False,False
2453,RGMA_BMPR1B,True,False,False,False,True,False
2454,PIGR_TNFRSF10B,True,False,False,False,False,False
2455,WNT3A_FZD3,True,True,True,False,False,False
2456,WNT9B_FZD2,True,True,False,False,False,False
2457,CXCL16_CXCR3,False,False,True,False,False,False
2458,TAC1_NTSR1,False,False,True,False,False,False
2459,CXCL12_HRH3,False,False,True,False,False,False
2460,LRFN4_PTPRF,False,False,False,True,False,False
2461,CCL19_NMUR1,False,False,True,False,False,False
2462,CCK_CHRM5,False,False,True,False,False,False
2463,SAA1_GRM6,False,False,True,False,False,False
2464,COL11A2_ITGA2,True,True,False,False,True,False
2465,DHCR7_NR1H3,False,True,False,False,False,False
2466,ALDH1A3_RARB,False,True,False,False,False,False
2467,CCL25_TAS2R31,False,False,True,False,False,False
2468,AGT_CCR6,False,False,True,False,False,False
2469,CXCL12_S1PR3,False,False,True,False,False,False
2470,SST_TAS2R39,False,False,True,False,False,False
2471,GNAI2_ADCY8,True,False,False,False,True,False
2472,IL12B_IL12RB2,True,True,True,False,True,True
2473,LGI3_ADAM22,True,False,False,False,True,False
2474,CEACAM1_CLEC4M,False,False,True,False,False,False
2475,NTS_PROKR2,False,False,True,False,False,False
2476,FARP2_PLXNA2,True,False,False,False,True,False
2477,CAV1_DPP4,True,False,False,False,False,False
