,ID,community,CPDB,NicheNet,CellChat
234,INHBA_ACVR1,True,True,True,False
235,P4HB_MTTP,True,False,False,False
236,EFNA1_EPHA7,True,True,True,True
237,TNC_ITGA7,True,False,False,False
238,LAMA5_ITGA6,False,False,False,True
239,CCL5_GRM7,True,False,False,False
240,ZG16B_CXCR4,True,False,False,False
241,SFRP1_WNT1,False,True,False,False
242,CDH1_PTPRF,True,False,False,False
243,SOST_LRP4,True,False,False,False
244,ANGPTL4_GPIHBP1,True,False,False,False
245,COL24A1_ITGA2,False,True,False,False
246,SFRP4_WNT2,False,True,False,False
247,C4BPA_CD40,True,False,False,False
248,ERVH48-1_SLC1A5,False,True,False,False
249,GNRH2_GNRHR2,False,True,False,False
250,LAMB1_ITGA2,False,False,False,True
251,ZP3_MERTK,True,False,True,False
252,NPFF_MAS1,False,False,True,False
253, INHBB_ACVR1B,False,False,False,True
254,NPB_NPBWR2,True,True,True,False
255,TIMD4_HAVCR1,True,False,False,False
256,ARPC5_LDLR,True,False,False,False
257,WNT3_ LRP5,False,False,False,True
258,PTCH2_GAS1,False,True,False,False
259,F12_GP9,True,False,False,False
260,WNT7A_FZD9,False,True,False,True
261,NLGN1_NRXN3,True,False,True,False
262,WNT8B_ FZD3,False,False,False,True
263,SCGB3A1_NOTCH3,True,True,False,False
264,IL10_NR3C1,False,True,False,False
265,WNT7B_FZD1,False,True,True,True
266,HBEGF_CD82,True,False,False,False
267,FSHB_PTH1R,True,False,False,False
268,CCL27_ACKR2,True,True,False,False
269,PROS1_AXL,True,True,True,True
270,LAMB3_ ITGB1,False,False,False,True
271,AVP_ADRB3,True,False,False,False
272,COL13A1_ITGA11,False,True,False,False
273,ALDH1A3_RARA,False,True,False,False
274,CADM3_NECTIN1,True,True,False,False
275,CXCL9_KIR2DL3,True,True,False,False
276,TNFSF10_TNFRSF10C,True,True,True,False
277,RTN4_TNFRSF19,True,False,True,False
278,ADAM17_MUC1,True,False,False,False
279,F11R_ITGB2,False,True,True,False
280,NTF4_NTRK2,True,True,True,True
281,CNTF_EGFR,True,True,False,False
282,EGF_LDLR,True,False,False,False
283,COL5A1_ITGA10,True,True,False,False
284,ANGPTL3_ITGB3,True,False,False,False
285,CCL4_CCR1,True,False,True,False
286,JAG1_NOTCH2,True,True,True,True
287,AFDN_NRXN3,True,False,False,False
288,APOE_TREM2,True,True,False,True
289,PROS1_MERTK,True,False,False,True
290,CCL20_ACKR4,True,False,False,False
