	gene_symbol	inDB	isLigand	isReceptor	sum_pseudobulkCellType_expr	sum_pseudobulkCellType_expr_threshold	sum_pseudobulkCellType_expr_filter	highly_variable	means	dispersions	dispersions_norm
12689	TXN2	False	False	False	224.784932382383	3	True	False	0.37088682873933854	0.8684525718538052	-0.47899488
12690	TXNDC11	False	False	False	93.9786973581433	3	True	False	0.25240263892066284	0.7338180129894244	-0.19214322
12691	TXNDC12	False	False	False	175.541537185828	3	True	False	0.2633927643828171	0.677414323496914	-0.32977608
12692	TXNDC15	False	False	False	164.822138313027	3	True	False	0.3676442205095349	0.8274560180029231	-0.5493885
12693	TXNDC16	False	False	False	7.96007991871811	3	True	False	0.01765634190377303	0.5559394229531894	-0.62619174
12694	TXNDC17	False	False	False	439.603612003036	3	True	False	0.6874113344251805	1.3096922872055061	-0.12441191
12695	TXNDC5	False	False	False	13.0660100130273	3	True	False	0.030910889161141125	0.5178207459256429	-0.7192066
12696	TXNDC9	False	False	False	91.2021501393185	3	True	False	0.14894085896071046	0.6923121641593485	-0.29342327
12697	TXNIP	False	False	False	543.850139951545	3	True	False	0.6480505389514568	1.4174663631476534	0.03596008
12698	TXNL1	False	False	False	226.60997685403	3	True	False	0.3498679263698828	0.7316982841588836	-0.71381056
12699	TXNL4A	False	False	False	192.452031189893	3	True	False	0.362356168416428	0.7696008444629319	-0.6487295
12700	TXNL4B	False	False	False	19.9359533962039	3	True	False	0.03800380604729799	0.9462687960977617	0.32626623
12701	TXNRD1	False	False	False	56.3986315175423	3	True	False	0.09825427611309887	0.8121749390914673	-0.000941426
12702	TXNRD2	False	False	False	30.2103358702179	3	True	False	0.06765929505619613	0.8259794670789186	0.032743543
12703	TXNRD3	False	False	False	3.1113979828545	3	True	False	0.0056293518950552	0.7098000566767948	-0.25075036
12704	TYK2	True	True	False	25.5113019689692	3	True	False	0.0470676090756922	0.6969826402074546	-0.28202665
12705	TYMP	False	False	False	646.756891604535	3	True	False	0.6331328021246766	1.3281307728708154	-0.09697473
12706	TYMS	False	False	False	59.3467864550585	3	True	True	0.10096757455186754	1.0745547039534165	0.63930166
12707	TYROBP	True	True	True	1280.19913944847	3	True	True	0.5544990358406107	2.8870219296699076	2.9870152
12708	TYSND1	False	False	False	26.6344463946156	3	True	False	0.05779923870627914	0.7295322039481811	-0.2026012
12709	TYW1	False	False	False	18.6018539328279	3	True	False	0.039646750582695865	0.6049286226925514	-0.5066513
12710	TYW3	False	False	False	50.1913702841305	3	True	False	0.0873323009504691	0.60574161822572	-0.50466746
12711	TYW5	False	False	False	20.9613685900567	3	True	False	0.0413837811597462	0.858570614721001	0.112270474
12712	U2AF1	False	False	False	505.92590478445	3	True	False	0.6622778683876579	0.9930051468019011	-0.5956546
12713	U2AF1L4	False	False	False	64.6059235542236	3	True	False	0.13157905740704165	0.6654859950946866	-0.35888284
12714	U2AF2	False	False	False	53.5920573043937	3	True	False	0.10810328514997537	0.7968777949771562	-0.038268585
12715	U2SURP	False	False	False	102.063810981364	3	True	False	0.19660969416095445	0.7743097184694762	-0.09333783
12716	U3	False	False	False	3.65750967386074	3	True	False	0.009137086807167223	0.7938459208237345	-0.04566678
12717	U47924.27	False	False	False	18.2917737380851	3	True	False	0.04623629773665343	0.9486687043852848	0.33212233
12718	U73166.2	False	False	False	3.60050233029672	3	True	False	0.007762484175161176	0.7550150995568826	-0.14041938
12719	UACA	False	False	False	34.086289708231	3	True	False	0.06894332535897675	0.9847916967756479	0.42026746
12720	UAP1	False	False	False	137.033488897893	3	True	False	0.30358962527203076	0.8481309431902848	0.086796224
12721	UAP1L1	False	False	False	8.14900040429126	3	True	False	0.014179336003844441	0.5256890575881678	-0.7000068
12722	UBA1	False	False	False	103.532608196111	3	True	False	0.20163220687764918	0.8422396671939939	0.072420694
12723	UBA2	False	False	False	70.0162155288451	3	True	False	0.1132759921420827	0.5982773273389402	-0.5228813
12724	UBA3	False	False	False	54.5837226996984	3	True	False	0.08626577332010259	0.7049334273799509	-0.26262563
12725	UBA5	False	False	False	57.4097434379642	3	True	False	0.11790323777272853	0.6223399832976056	-0.46416512
12726	UBA52	True	True	False	3636.96559689136	3	True	False	2.0759195010593245	1.4249101622414893	-0.90327746
12727	UBA6	False	False	False	33.7804379914618	3	True	False	0.07105343380376379	0.8513347987681756	0.09461407
12728	UBA6-AS1	False	False	False	10.0489207843871	3	True	False	0.017795902676346842	0.5543144729311759	-0.6301568
12729	UBA7	False	False	False	38.1575450554512	3	True	False	0.07419668227440353	0.8206114174794377	0.019644754
12730	UBAC1	False	False	False	62.9835550243274	3	True	False	0.12727147070041273	0.8914792074002531	0.19257201
12731	UBAC2	False	False	False	85.1118209699614	3	True	False	0.1277448723439257	0.7337159068236593	-0.19239238
12732	UBAC2-AS1	False	False	False	3.76411184341946	3	True	False	0.00642286153045819	0.5406702280938681	-0.66345066
