cluster,gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Mono,ARL2,0,0.28617500624125247,0.348,0.082,0
Mono,FUT4,0,0.44189345253642354,0.394,0.04,0
Mono,CACNA2D4,0,0.4003208753700832,0.41,0.076,0
Mono,CD9,0,0.504201686688928,0.419,0.036,0
Mono,CLEC4D,0,0.3444362871649683,0.394,0.1,0
Mono,CLEC4E,0,0.4669705486452266,0.614,0.297,0
Mono,CLEC2B,0,0.3721526188269948,0.767,0.451,0
Mono,H2AFJ,0,0.6268736509287798,0.799,0.382,0
Mono,PRR13,0,0.33826470999578995,0.817,0.549,0
Mono,METTL7B,0,0.2665964502494711,0.215,0.002,0
Mono,CD63,0,0.3856727053214457,0.927,0.685,0
Mono,STAT2,0,0.29497378134848296,0.472,0.171,0
Mono,NACA,0,-0.2552558863897696,0.971,0.968,0
Mono,STAC3,0,0.2945144217240613,0.368,0.097,0
Mono,DDIT3,0,0.46616631725474555,0.523,0.18,0
Mono,LLPH,0,0.32539551011284623,0.525,0.22,0
Mono,MDM2,0,0.49416373764888055,0.536,0.172,0
Mono,LYZ,0,0.26331587831611314,0.994,0.985,0
Mono,PHLDA1,0,0.5815137907338215,0.541,0.104,0
Mono,AC025164.1,0,0.37736968301619833,0.402,0.107,0
Mono,SLC25A3,0,-0.4642577514760138,0.432,0.655,0
Mono,ALDH2,0,-0.5510861097201435,0.134,0.477,0
Mono,RPL6,0,-0.31110345188131183,0.967,0.982,0
Mono,OAS1,0,0.30493760972283573,0.426,0.136,0
Mono,OAS3,0,0.2617746972079247,0.278,0.048,0
Mono,OAS2,0,0.3210318623523347,0.36,0.068,0
Mono,OASL,0,0.5001363167001119,0.441,0.046,0
Mono,FLT3,0,0.4185525536483226,0.356,0.021,0
Mono,TPT1,0,-0.2666985090814382,0.991,1,0
Mono,SPRY2,0,0.2702520259860527,0.222,0.013,0
Mono,RNASE6,0,0.4607593652273497,0.657,0.314,0
Mono,RNASE1,0,0.48947187848397045,0.286,0.014,0
Mono,RNASE2,0,1.0114310216604299,0.732,0.217,0
Mono,NFKBIA,0,0.5893584037076138,0.919,0.675,0
Mono,PTGER2,0,0.42080438836067746,0.511,0.168,0
Mono,DDX24,0,0.4997143971774233,0.748,0.367,0
Mono,IFI27,0,1.5635842136813005,0.582,0.008,0
Mono,CRIP1,0,0.5831556619061249,0.911,0.65,0
Mono,RPS27L,0,0.5533863974684432,0.774,0.395,0
Mono,BCL2A1,0,0.478720609105867,0.834,0.533,0
Mono,RPS17,0,-0.26145043095348885,0.906,0.915,0
Mono,NMRAL1,0,0.2648153844911284,0.308,0.06,0
Mono,MT2A,0,1.0484463354798548,0.813,0.374,0
Mono,MT1E,0,0.43446013829242675,0.268,0.017,0
Mono,MT1X,0,0.4037569162678445,0.394,0.11,0
Mono,DNAAF1,0,0.5173296834820222,0.385,0.013,0
Mono,COX4I1,0,-0.26893257563809536,0.922,0.938,0
Mono,MAP1LC3B,0,0.38001086142939555,0.825,0.524,0
Mono,XAF1,0,0.5619065968245142,0.591,0.167,0
Mono,CD68,0,0.31564659878582924,0.892,0.729,0
Mono,PER1,0,0.49263266939851263,0.665,0.231,0
Mono,MTRNR2L1,0,0.25309761101925543,0.255,0.032,0
